Recipient,"FakeColumn","Official Donors, Total","DAC Countries, Total","Non-DAC Countries, Total","Multilateral Agencies, Total","Private Donors, Total","Australia","Austria","Belgium","Canada","Czech Republic","Denmark","Finland","France","Germany","Greece","Hungary","Iceland","Ireland","Italy","Japan","Korea","Luxembourg","Netherlands","New Zealand","Norway","Poland","Portugal","Slovak Republic","Slovenia","Spain","Sweden","Switzerland","United Kingdom","United States","EU Institutions","Azerbaijan","Bulgaria","Croatia","Cyprus","Estonia","Israel","Kazakhstan","Kuwait","Latvia","Liechtenstein","Lithuania","Malta","Qatar","Romania","Russia","Saudi Arabia","Chinese Taipei","Thailand","Timor-Leste","Turkey","United Arab Emirates","Other donor countries","International Monetary Fund, Total","IMF (Concessional Trust Funds)","Regional Development Banks, Total","African Development Bank, Total","African Development Bank [AfDB]","African Development Fund [AfDF]","Asian Development Bank, Total","Asian Development Bank [AsDB]","Inter-American Development Bank, Total","Inter-American Development Bank [IDB]","Asian Infrastructure Investment Bank [AIIB]","Caribbean Development Bank [CarDB]","Council of Europe Development Bank [CEB]","European Bank for Reconstruction and Development [EBRD]","Islamic Development Bank [IsDB]","United Nations, Total","Food and Agriculture Organisation [FAO]","International Atomic Energy Agency [IAEA]","IFAD","International Labour Organisation [ILO]","UNAIDS","UNDP","UNECE","UNEP","UNFPA","UNHCR","UNICEF","UN Institute for Disarmament Research [UNIDIR]","UN Peacebuilding Fund [UNPBF]","UNRWA","UNTA","WFP","World Health Organisation [WHO]","World Tourism Organisation [UNWTO]","World Bank Group, Total","World Bank, Total","International Bank for Reconstruction and Development [IBRD]","International Development Association [IDA]","International Finance Corporation [IFC]","Other Multilateral, Total","Adaptation Fund","Arab Bank for Economic Development in Africa [BADEA]","Arab Fund (AFESD)","Center of Excellence in Finance [CEF]","Central Emergency Response Fund [CERF]","Climate Investment Funds [CIF]","Global Alliance for Vaccines and Immunization [GAVI]","Global Environment Facility [GEF]","Global Fund","Global Green Growth Institute [GGGI]","Green Climate Fund [GCF]","Montreal Protocol","Nordic Development Fund [NDF]","OPEC Fund for International Development [OPEC Fund]","OSCE","Other Multilaterals","Arcadia Fund","Arcus Foundation","BBVA Microfinance Foundation","Bernard van Leer Foundation","Bill & Melinda Gates Foundation","Carnegie Corporation of New York","Charity Projects Ltd (Comic Relief)","Children's Investment Fund Foundation","Citi Foundation","Conrad N. Hilton Foundation","David & Lucile Packard Foundation","Ford Foundation","Gatsby Charitable Foundation","Gordon and Betty Moore Foundation","Grameen Crédit Agricole Foundation","H&M Foundation","IKEA Foundation","Jacobs Foundation","John D. & Catherine T. MacArthur Foundation","La Caixa Banking Foundation","Laudes Foundation","LEGO Foundation","Margaret A. Cargill Foundation","MasterCard Foundation","MAVA Foundation","McKnight Foundation","MetLife Foundation","Michael & Susan Dell Foundation","Oak Foundation","Omidyar Network Fund, Inc.","Rockefeller Foundation","Wellcome Trust","William & Flora Hewlett Foundation","World Diabetes Foundation","Dutch Postcode Lottery","Norwegian Postcode Lottery","People's Postcode Lottery","Swedish Postcode Lottery","G7 Countries, Total","DAC-EU Countries, Total","United Postcode Lotteries, Total"
"Fragile states, Total",,"76630.19","38209.76","13547.26","24873.17","1267.02","957.34","107.73","423.26","1347.71","21.91","561.59","162.49","2085.42","4759.13","0.42","51.06","19.93","268.53","481.28","3774.7","723.02","181.57","694.99","90.04","988","105.61","30.65","4.44","1.33","254.36","1509.28","727.06","4529.42","13347.5","6347.07",,"0.9","0.63","0.05","3.31","89.4","8.52","-700.54","0.02",,"0.35","0.45",,"3.06","118.65","3878.17",,"54.59",,"6892.37","3197.34",,"-101.9","-101.9","2194.59","1403.32","81.86","1321.46","325.58","325.58","458.37","458.37","0.16",,,,"7.16","2350.58","31.72","15.82","324.26","37.33","8.41","196.57",,,"115.21","105.72","665.73",,"91.61","485.03",,"159.56","113.61",,"9916.69","9916.69",,"9916.69",,"4166.13","15.05",,"104.06",,"448.93","126.16","1083.57","124.82","2147.22","4.23","26.62",,"-6.42","84.46","7.42",,,"3.49",,,"825.97","0.5","22.25","42.66","1.98","23.34","12.19","20.85","13.79",,"16.45","9.07",,"8.86","26.99","4.7","3.52","10.2","17.12","95.88","16.02","2.87","2.33","0.05","18.66","3.48","23.57","11.18","9.49","3.39","6.43",,,"9.75","30325.16","16234.46","16.19"
"Afghanistan",,"3792.45","2660.87","60.95","1070.63","14.47","75.03","4.03","0.06","126.6","2.09","80.04","22.84","9.84","438.05",,"0.02","0.55","2.33","95.14","188.03","32.48","2.3","54.91","0.09","97.71","0.61","0.97","0.34","0.06","1.15","145.78","33.74","331.73","914.37","460.75",,"0.24","0.5",,"1.52","0","4.68",,,,"0",,,"0.17","1.03",,,"0.03",,"32.27","11.47",,"-3.65","-3.65","208.35",,,,"205.38","205.38",,,,,,,"2.97","84.7","0.72","0.22","18.32","1.1",,"6.72",,,"3.6",,"44.8",,,,,"5.41","3.8",,"223.1","223.1",,"223.1",,"97.39",,,,,"11.94",,"62.16","3.69","19.53",,,,,"0.07",,,,,,,"12.3",,,,,,,,,,,,,"0.21",,,,,,,,,,,,,,,,,,,,"1.96","2103.76","1192.28","1.96"
"Albania",,"344.32","147.69","30.15","166.48","0.27","0.05","9.74","0.03","0.01","0.23","3.91","0.12","5.65","58.66","1.45","0.38",,,"16.14","-0.24","-1.14","0.06","0.22",,"0.81","0.04","0","0.32","0.1","0.73","11.21","16.6","1.5","21.12","213.37",,"0.04","0.14",,,"0.21",,"17.11",,,,"0",,"1",,,,"0",,"4.74","0.26",,"-0.86","-0.86","-13.94",,,,,,,,,,"-11.14",,"-2.8","2.76","0.21","1.11","-1.74","0.59",,"0.44",,,"0.55","0.03","0.9",,,,,,"0.66",,"-41.99","-41.99",,"-41.99",,"7.15",,,,"0.07",,,,"1.45","2.47",,,,,"0.05","3.1",,,,,"0.19",,,,,,,,,,,,,,,,,,,,,"0.08",,,,,,,,,,,,,,"102.83","110.48",
"Algeria",,"144.53","88.94","-9.68","65.28","0.05","0","0.66","5.3","-0.88",,,"0.17","77.48","10.47","0.09","1.44",,,"-0.45","0.39","1.61","0.18","0.35","0.01","0.57","0.04","0.23",,,"-24.58","1.8","2.73","8.82","2.52","50.47",,,,,,"0.07",,,,,"0.01","0",,"0.04",,,,"0.01",,"1.44","-1.94",,,,"1.88","1.88","1.88",,,,,,,,,,,"9.97","0.19","0.42",,"0.37","0.09","0.35",,,"0.27","3.19","1.2",,,,,"2.52","1.37",,,,,,,"2.97",,,,,,,,"0.69","2.22",,"0.06",,,,,,,,,,,,,,,,,"0.05",,,,,,,,,,,,,,,,,,,,,,,,,,,"98.35","81.99",
"Angola",,"162.66","68.04","0.66","93.96","1.63","0","0.01",,,"0.05",,,"6.33","4.19",,"0.26",,"0.5","3.06","17.16","7.56",,"-0.22",,"6.45","-1.89","-22.98","0",,"-5.08","1","0.46","0.6","50.56","35.43",,,,,,"0.03",,,,,,,,"0.12","0.38",,,,,"0.05",,,,,"7.78","7.78","0.03","7.75",,,,,,,,,,"19.99","0.1","0.29","0.74","0.23","0.08","1.21",,,"1.86","5.2","6.58",,,,,"0.45","3.24",,"-1.09","-1.09",,"-1.09",,"31.86",,,,,"2",,"2.43","3.21","24.72",,,,,"-0.51",,,,,,,"0.93",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0.71",,,,"81.91","-14.16","0.71"
"Anguilla",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Antigua and Barbuda",,"17.59","2.55","4.54","10.5","0.14","0.05",,,"0.16",,,,"0.01","0.02",,,,,,"2.17","0.09",,,,,,,,,,,,"0.13","-0.08","0.79",,,,,,"0.02",,,,,,,,,,,,,,,"4.52",,,,"8.71",,,,,,,,,"8.71",,,,"0.14","0.01","0.05",,"0.08",,,,,,,,,,,,,"0.01",,,,,,,"0.86",,,,,,,,"0.05",,,"0.81",,,,,,,"0.02",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0.12",,,,,"2.41","0.16",
"Argentina",,"73.11","-41.69","44.32","70.48","3.61","0.11","0.58","0.03","1.07","0.02",,"0.09","22.21","11.14",,"0.03",,"0.01","-62.26","-11.5","0.06","0.25","0.11","0.22",,"0.02","0.13",,,"-11.92","0","0.53","3.17","4.21","61.87","0.01",,,,,"4.12",,"39.82",,,"0.06",,,"0.01",,,,"0.03",,"0.09","0.17",,,,"-0.72",,,,,,"-0.72","-0.72",,,,,,"5.47","0.1","0.6","0.8","2.14","0.11","0.15",,,"0.12",,"1.01",,,,,,"0.45",,,,,,,"3.87","1.58",,,,,,,"1.99",,,"0.3",,,,,,,,,,"0.66",,"0.03",,"0.74",,"0.17","0.11",,"0.78",,,,,,,,,,,,,"0.03",,,"0.58",,,,"0.51",,,,,"-31.96","-36.39",
"Armenia",,"141.62","127.95","17.82","-4.15","0.49",,"2.97","0.27","0.01","0.59","0.67","0.05","21.45","74.84","0.06","0.05",,,"0.93","-7.85",,,"0.24",,"0.03","0.44","0","0.03","0","1.73","1.49","2.68","1.15","26.12","58.15",,"0.02",,,"0.08","0.28",,,"0",,"0.08",,,"0.1","17.9",,,"0.02",,,"-0.66",,"-34.85","-34.85","-3.72",,,,"-3.72","-3.72",,,,,,,,"4.73","0.35","1.11","-0.52","0.46","0.02","0.33",,,"0.56","0.82","0.98",,,,,"0","0.62",,"-35.66","-35.66",,"-35.66",,"7.19","0.25",,,,,"0.02","0.2","1.98","5.14",,"0.54",,,"-0.95",,,,,,,"0.49",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"116.65","106.96",
"Aruba",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Azerbaijan",,"87.41","102.81","3.59","-19","0.12",,"2.91",,,"0.04",,"0.11","22","9.42","0.04","3.28",,,"0.1","22.77","21.79","0.08","0.42",,"0.03","1.36","0","0.01","0","0.25","1.17","3.28","1.04","12.73","23.73",,,,,"0.03","0.61",,,"0.07",,"0.11",,,"0.06","0.7",,,"0.06",,"3.7","-8.81",,,,"-5.42",,,,"-1.81","-1.81",,,,,,,"-3.61","3.77","0.21","0.09","-1.16","1.2",,"0.17",,,"0.54","1.42","1.1",,,,,,"0.19",,"-48.76","-48.76",,"-48.76",,"7.68",,,,,,,"0.31","3.26","4.85",,"0.18",,,"-0.91",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0.12",,,,,,,,,,"68.05","42.22",
"Bahamas",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Bahrain",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Bangladesh",,"3044.68","2354.35","-1060.07","1750.4","49.66","54.74","1.26","1.22","89.28","0.02","30.78","2.87","63.58","118.8",,,"0.05","2.66","1.52","1179.28","69.03","3.14","47.58","0.12","14.57","0.08",,,"0","0.75","51.03","44.55","253.31","324.14","168.62",,,,,"0.06",,,"-1099.71",,,"0",,,"0.01","1.38",,,"0.31",,"10.06","11.97",,"-51.77","-51.77","164.73",,,,"175.97","175.97",,,,,,,"-11.24","66.8","0.31","0.47","14.59","1.99","0.06","4.38",,,"5.5",,"23.99",,,,,"11.56","3.96",,"1252.35","1252.35",,"1252.35",,"149.66",,,,,"18","13.47","61.2","3.52","34.02",,"0.81",,"-1.07","19.7",,,,,,,"32.8",,"0.17","1.3","0.21","0.5","0.05",,,,,"0.86",,,,,"3.16","4.68","2.1",,,,"1.93",,"0.19",,,,,"1.02",,,,"0.69","2029.89","578.59","0.69"
"Barbados",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Belarus",,"119.1","69.54","7.77","41.79",,,"1.17","0.02","0.01","0.7","-0.02","0.15","1.96","14.92","0","0.08",,"0.01","0.32","0.67","0.14",,"0.65",,"0.09","34.15","0.01","0.04","0.02","0.34","6.76","0.3","1.65","5.41","29.59",,,,,"0.4","2.16",,,"0.01",,"2.16",,,"0.01","2.84",,,"0.01",,"0.11","0.06",,,,,,,,,,,,,,,,,"3.77","0.25","0.41",,"0.05","0.41","0.29",,,"0.35","0.6","0.7",,,,,,"0.7",,,,,,,"8.42",,,,,,,,"2.13","6.29",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"24.94","62.92",
"Belize",,"33.79","5.44","10.85","17.5","0.33","0.07","0.01",,"0.54",,,,"0.02","0.03",,,,,,"0.85","0.1",,,,,,,,,"0",,,"1.03","2.8","10.42",,,,,"0.03","0.06",,"10.72",,,,"0",,,,,,"0.02",,,"0.01",,,,"2.84",,,,,,"1.41","1.41",,"1.42",,,,"1.48","0.11","0.21",,"0.24","0.01","0.05",,,,,"0.79",,,,,,"0.07",,,,,,,"2.76","0.87",,,,,,,"0.47","1.05",,,,,"0.38",,,,,,,"0.31",,,,,,"0.02",,,,,,,,,,,,,,,,,,,,,,,,,,,,"5.26","1.09",
"Benin",,"574.62","267.21","9.69","297.72","8.83","0.03","0.02","27.68","18.09",,"-0.17","0","47.54","42.1",,,,"0.11","2.68","14.26","0.18","1.42","26.33",,,"0.02","0",,,"0.31","0.66","28.31","0.52","57.11","90.57",,,,,,"0.1",,"0.2",,,,,,"0.01","0.01",,,"0.01",,"0.53","0.07",,"23.9","23.9","25.39","28.91",,"28.91",,,,,,,,,"-3.52","16.89","0.49","0.34","-0.67","0.22","0.13","3.79",,,"1.56","0.16","6.96",,,,,"2.4","1.5",,"102.58","102.58",,"102.58",,"38.37",,,,,,,"11.32","4.1","23.1",,,,"-0.16","0.02",,,,"0.01",,,"2.49",,,,,,"0.25",,,,"1.8",,,,,,,,,"4.08",,,,,,,,,"0.2",,,,,,"182.3","149.23",
"Bermuda",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Bhutan",,"107.92","27.7","2.23","77.99","0.63","4.4","1.04",,"0.05",,"0","0.19","0.02","0.69",,,,,"0.04","17.84","0.53",,,"0.32","0.09",,,,,,"0.03","1.42","0.34","0.67","15.04",,,,,,"0",,,,,"0",,,,,,,"2.22",,,,,,,"21.18",,,,"21.18","21.18",,,,,,,,"4.56","0.25",,"1.41",,,"0.51",,,"0.54",,"0.89",,,,,"0.02","0.94",,"30.49","30.49",,"30.49",,"6.73",,,,,,,"0.08","5.26","1.19",,"0.2",,,,,,,,,,"0.51",,,,,,,"0.12",,,,,,,,,,,,,,,,,,,,,,,,,,,"19.67","2.36",
"Bolivia",,"728.85","262.07","0.02","466.76","2.8","0.03","0.2","10.86","11.8","0.03","25.13","0.32","39.69","47.06",,,,"0.22","10.5","9.2","15.41","1.32",,"0.04","3.25",,,,,"28.02","29.04","28.31","0.76","0.86","43.17",,,,"0",,"0.01",,,,,,,,,,,,,,"0","0.01",,,,"333.77",,,,,,"333.77","333.77",,,,,,"8.51","0.26","0.1","3.08","0.78","0.01","0.36",,,"1.08",,"1.5",,,,,"0.5","0.83",,"17.6","17.6",,"17.6",,"63.71",,,,,,"13.79","2.02","2.75","9.5",,,,"-1.22","36.87",,,,,,,"0.4",,,,,,,"0.01",,"1.72",,,,,"0.2",,,,,,,"0.37",,,"0.1",,,,,,,,,,"119.87","193.16",
"Bosnia and Herzegovina",,"355.95","182.84","65.05","108.06","4.78","0.03","22.18","0.05","0.14","6.37","-0.06","0","2.27","24.12","0.01","0.55",,"0.04","3.07","43.2","-4.12","0.07","0.56",,"5.33","-1.29","-0.42","0.38","4.58","-17.76","18.56","21.99","3.37","49.63","87.35",,"0.15","12.37",,"0","0.05",,"35.14",,,"0",,,"0.04",,,,"0.01",,"17.95","0.08",,,,"13.52",,,,,,,,,,"13.52",,,"10.57","0.13","0.65","3.22","0.21",,"0.35",,,"0.67","2.63","0.85",,"0.92",,,,"0.94",,"-31.2","-31.2",,"-31.2",,"27.84",,,,"0.07",,,,"2.23",,,"2.17",,,"10.88","12.49",,,"0.03",,,,,,,,,,,,,"2.36",,,,,,,,,,,,,,"2.39",,,,,,,,,,"125.82","66.65",
"Botswana",,"85.75","68.29","0.37","17.08","6.91","1.01","0.01",,"0.24",,,"0.12","0.08","0.67",,,,,"0.12","9.58","0.16",,,"0.13",,,"0.04",,,,"0.14",,"1.48","54.52","1.4",,,,,,"0.36",,,,,,"0.01",,,,,,"0.01",,,,,,,"-2.98","-2.98",,"-2.98",,,,,,,,,,"5.8","0.42","0.6","0.19","0.25","0.1","0.15",,,"0.57","1.28","1.18",,,,,,"1.06",,,,,,,"12.86",,,,,,,,"3.26","11.75",,,,"-0.31","-1.84",,,,"0.11",,,"1.08",,,,,,,"0.02",,,,,,,,,,,,"0.05","3.54",,,,"1",,,"0.4",,,"0.71",,,,"66.69","2.65","0.71"
"Brazil",,"444.83","339.59","3.56","101.68","67.93","0.24","2.45","1.27","1.13","0.06","0.5","0.48","50.49","127.29","0","1.54",,"0.42","8.33","-13.06","0.01","1.45","0.29","0.32","84.28","0.07","3.85",,,"5.12","1.38","4.11","33.29","24.28","62.32",,,,,,"2.69",,,,,"0.01","0",,"0.01","0.38",,,"0.01",,"0.13","0.3",,,,"5.13",,,,,,"5.13","5.13",,,,,,"10.43","0.03","0.83",,"1.84","0.38","0.15",,,"1.61","2.03","0.99",,,,,,"2.59",,,,,,,"23.8",,,,,"1.5","8.57",,"13.54",,,"0.2",,,,,,,,,"2.84","3.64",,"0.2","4.28","0.7","0.08","0.03","17.87",,"12.45",,,,,"0.09",,"4.53",,"0.76",,,,"0.58",,"9.8","0.7",,"3.45","3.2","0.35","2.36",,,,"231.76","238.28","2.36"
"British Virgin Islands",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Brunei Darussalam",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Burkina Faso",,"1187.46","438.23","-0.54","749.78","29.06","0.08","6.01","15.61","43.94","0.03","38.06","0.71","90.01","54.39",,"0",,"0.54","14.09","15.82","0.9","24.27",,,"2.97",,"0",,,"3.29","27.86","35.24","2.43","61.97","194.08",,,,,,"0.19",,,,,,"0",,"0.01","1",,,,,"0.29","-0.26",,"-8.62","-8.62","28.69","37.45","0.06","37.39",,,,,,,,,"-8.77","46.92","1.13","0.55","8.82","0.38","0.13","3.89",,,"2.22","0.15","17.83",,"1.77",,,"7.88","2.16",,"391.06","391.06",,"391.06",,"97.64",,,,,"9.02","3.84","26.98","3.43","45.9","0.14","0.56",,"-0.24","8.01",,,,"0.01",,,"19.77",,"0.06",,,"1.03",,"0.04",,,"2.95",,,,,,,,"1.58","1.09",,"0.34",,,,,"1.25",,"0.95",,,,,,"282.65","277.31",
"Burundi",,"451.08","216.1","4.12","230.86","1.9","0.42","0.04","41.51","5.07",,,"0.74","6.75","33.34",,,,"1.81","1.57","9.86","0.55","0.8","37.06",,"4.51","0",,"0.01",,"1.22","6.51","8.94","5.37","50.02","48.97",,,,,,"0.05",,,,,,"0",,,,,,"0.05",,,"-0.22",,"-17.63","-17.63","6.61","6.61",,"6.61",,,,,,,,,,"57.24","0.45","0.15","17.16","0.11","0.07","10.56",,,"1.63","6.37","11.38",,"5.81",,,"2.13","1.41",,"81.75","81.75",,"81.75",,"53.93",,,,,"7.35",,"33.71","1.76","8.15",,"0.24",,,"2.72",,,,"0.05",,,"1.59",,"0.01",,,,,,,,,,,,,,,,,"0.25",,,,,,,,,,,,,,,"111.99","136.73",
"Cabo Verde",,"84.28","56.02","13.14","15.12","1.06","0.02","0.01",,"0.19","0.07",,,"2.94","0.08","0.01","0.03",,,"0.89","12.59","0.15","14.73",,,,"0.02","19",,"0.07","0.78",,"0.01","0.52","3.91","8.25",,,,,,"0.03",,"13.02",,,,"0",,,,,,"0.01",,"0",,,,,"0.33","0.33","1.22","-0.89",,,,,,,,,,"5.93","0.55",,"1.94","0.43",,"0.49",,,"0.52",,"0.96",,,,,,"1.03",,"0.23","0.23",,"0.23",,"0.37",,,,,,,,"1.08","1.45",,,,"-0.12","-2.04",,,,,,,,,,,,,,,,,,,,,,,,,,,"1.06",,,,,,,,,,,,,,"21.12","39.14",
"Cambodia",,"783.3","546.01","11.77","225.52","7.19","51.78","0.07","4.22","2.77","1.39","0","1.94","67.17","53.66",,"0.19",,"0.71","0.5","159.36","57.22","0.4",,"5.9","5.98","0",,"0.06",,"-16.17","24.72","16.68","5.54","101.92","89.78",,,,,,"0.18",,,,,,"0.01",,,"0.38",,,"10.57",,"0.02","0.32",,,,"60.24",,,,"60.24","60.24",,,,,,,,"23.34","0.42","0.51","9.39","0.88","0.15","2.91",,,"1.62",,"5.13",,,,,"0.6","1.73",,"6.56","6.56",,"6.56",,"45.59","0.55",,,,,"15.48","7.44","4.32","16.7","1.08","0.12",,"-0.13","0.02",,,,"0.22",,,"2.75",,"0.18",,,,,"0.07",,,"1.15","0.78",,,"0.12",,"0.09",,"1.69",,,"0.06",,,"0.08",,,,,,,,,,"390.94","144.41",
"Cameroon",,"1165.34","648.57","7.11","509.66","6.24","0.36","0.53","2.66","14.17","0.01",,"0.11","333.89","112.57",,,,"1.06","4.35","22.26","13.06","0.42",,"0.05","2.68","0.05","0.04",,,"3.38","8.79","4.64","13.79","109.7","68.87",,,,,,"0.67",,"3.62",,,,"0",,"0.1",,,,"0.01",,"0.35","0.27",,"128.13","128.13","61.49","49.69","0","49.69",,,,,,,,,"11.8","30.45","0.39","0.26","5.62","1.02","0.18","1.21",,,"2.7","1.69","13.41",,"1.03",,,"1.11","1.83",,"126.96","126.96",,"126.96",,"93.76",,,,,"14.98",,"18.02","2.47","60.46",,"0.04",,,"-2.22",,,,"0.32",,,"4.14",,"0.03",,,,"0.02",,,,,,,,,,,,,"1.73",,,,,,,,,,,,,,,"610.74","481.65",
"Cayman Islands",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Central African Republic",,"656.25","280.21","5.29","370.75","0.66","3.13","0.04","3.47","15.34","0.25",,"0.79","39.91","49.45",,,,"7.19","8.2","6.44","1.22","1.4","5.97",,"8.54","0.16","0.82",,,"1.53","24.1","11.38","34.64","56.23","127.62",,,,,,,,,,,,,,,,,,,,"0",,,"50.08","50.08","15.8","15.8",,"15.8",,,,,,,,,,"43.52","0.91","0.28","-1.05","1.41","0.14","7.31",,,"1.29",,"8.21",,"8.86",,,"13.55","2.61",,"96.32","96.32",,"96.32",,"37.4",,,,,"9.93",,"1.54","0.48","25.15",,"0.29",,,,,,,"0.04",,,"0.62",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"210.21","177.92",
"Chad",,"875.16","308.83","9.98","556.35","3.25","0","0.6","4.48","14.64","0.23",,,"100.33","39.26",,"0",,"1.52","4.1","5.58","1.46","0.48","1.21",,,,,,,"0.96","9.18","31.37","0.02","93.39","169.41",,,,,,"0.02",,"4.81",,,,,,"0","1",,,,,"0.67","2.61",,"148.87","148.87","24.36","26.88",,"26.88",,,,,,,,,"-2.52","43.38","0.37","0.13","4.33","0.18","0.11","2.98",,,"2.73","14.03","15.57",,"0.78",,,,"2.16",,"121.31","121.31",,"121.31",,"49.01",,,,,"16.98",,"3.11","0.16","30.98",,,,,"-2.21",,,,,,,"3.15",,,,,,,,,,,"0.1",,,,,,,,,,,,,,,,,,,,,,,"257.32","162.38",
"Chile",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"China (People's Republic of)",,"-705.45","-380.87","99.09","-423.67","102.96","4.34","7.1","0.48","-11.38","0.03","2.86","0.57","-32.64","507.49","0.02","4.12",,"0.03","-10.46","-931.88","-6.67","0.12","1.42","0.37","11.58","-16.64","1.26",,"0","-28.34","3.41","6.39","74.23","31.33","180.94",,,,,,"17.35",,"88.23","0.07",,"0.07",,,"0.1",,,,"0.31",,"0.47","0.1",,,,"10.94",,,,"10.94","10.94",,,,,,,,"-0.12","0.54","0.98","-18.27","1.66","0.45","0.77",,,"1.63","2.95","6.99",,,,,,"2.2",,"-664.62","-664.62",,"-664.62",,"49.19",,,,,,,,"31.98",,,,,"-0.26","17.47",,,"2.78","0.45",,,"19.95",,,"18.74",,,"9.62","9.16",,"2.57",,,,,"1.9",,"0.12","0.31",,,"4.13",,"1.13",,"1",,"0.2","9.69","21.21",,,,,,"-373.31","515.06",
"Chinese Taipei",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Colombia",,"1781.02","1638.85","3.66","138.51","366.24","0.08","1.64","1.96","35.31","0.17","0.54","0.53","438.85","516.96",,"0.36","0.18","2.55","5.02","9.38","61.67","1.28","9.77","0.81","50.54","0.29","0.58",,,"40.7","32.73","40.8","46.94","339.21","84.27",,,,,,"0.98",,,,,"0.01","0",,"0.02",,,,"0.05",,"0.61","1.95",,,,"-0.73",,,,,,"-0.73","-0.73",,,,,,"28.92","0.3","0.38","-1.17","1.56","0.02","0.31",,,"0.99","9.67","1.52",,"9.94",,,"4.36","1.03",,,,,,,"26.06","1.14",,,,"5.93","5.99",,"7.8","1.8",,"8.77",,"-0.07","-5.31",,,,"0.04","352.87","0.05","0.62",,"0.39",,"0.52",,,"5.92",,"0.52",,"0.23",,,"0.53",,,"0.07",,,,,"0.1",,,"1.18",,"0.16",,"1.2","1.85",,,,"1391.68","1100.87","1.85"
