Recipient,"FakeColumn","Official Donors, Total","DAC Countries, Total","Non-DAC Countries, Total","Multilateral Agencies, Total","Private Donors, Total","Australia","Austria","Belgium","Canada","Czech Republic","Denmark","Finland","France","Germany","Greece","Hungary","Iceland","Ireland","Italy","Japan","Korea","Luxembourg","Netherlands","New Zealand","Norway","Poland","Portugal","Slovak Republic","Slovenia","Spain","Sweden","Switzerland","United Kingdom","United States","EU Institutions","Azerbaijan","Bulgaria","Croatia","Cyprus","Estonia","Israel","Kazakhstan","Kuwait","Latvia","Liechtenstein","Lithuania","Malta","Qatar","Romania","Russia","Saudi Arabia","Chinese Taipei","Thailand","Timor-Leste","Turkey","United Arab Emirates","Other donor countries","International Monetary Fund, Total","IMF (Concessional Trust Funds)","Regional Development Banks, Total","African Development Bank, Total","African Development Bank [AfDB]","African Development Fund [AfDF]","Asian Development Bank, Total","Asian Development Bank [AsDB]","Inter-American Development Bank, Total","Inter-American Development Bank [IDB]","Asian Infrastructure Investment Bank [AIIB]","Caribbean Development Bank [CarDB]","Council of Europe Development Bank [CEB]","European Bank for Reconstruction and Development [EBRD]","Islamic Development Bank [IsDB]","United Nations, Total","Food and Agriculture Organisation [FAO]","International Atomic Energy Agency [IAEA]","IFAD","International Labour Organisation [ILO]","UNAIDS","UNDP","UNECE","UNEP","UNFPA","UNHCR","UNICEF","UN Institute for Disarmament Research [UNIDIR]","UN Peacebuilding Fund [UNPBF]","UNRWA","UNTA","WFP","World Health Organisation [WHO]","World Tourism Organisation [UNWTO]","World Bank Group, Total","World Bank, Total","International Bank for Reconstruction and Development [IBRD]","International Development Association [IDA]","International Finance Corporation [IFC]","Other Multilateral, Total","Adaptation Fund","Arab Bank for Economic Development in Africa [BADEA]","Arab Fund (AFESD)","Center of Excellence in Finance [CEF]","Central Emergency Response Fund [CERF]","Climate Investment Funds [CIF]","Global Alliance for Vaccines and Immunization [GAVI]","Global Environment Facility [GEF]","Global Fund","Global Green Growth Institute [GGGI]","Green Climate Fund [GCF]","Montreal Protocol","Nordic Development Fund [NDF]","OPEC Fund for International Development [OPEC Fund]","OSCE","Other Multilaterals","Arcadia Fund","Arcus Foundation","BBVA Microfinance Foundation","Bernard van Leer Foundation","Bill & Melinda Gates Foundation","Carnegie Corporation of New York","Charity Projects Ltd (Comic Relief)","Children's Investment Fund Foundation","Citi Foundation","Conrad N. Hilton Foundation","David & Lucile Packard Foundation","Ford Foundation","Gatsby Charitable Foundation","Gordon and Betty Moore Foundation","Grameen Crédit Agricole Foundation","H&M Foundation","IKEA Foundation","Jacobs Foundation","John D. & Catherine T. MacArthur Foundation","La Caixa Banking Foundation","Laudes Foundation","LEGO Foundation","Margaret A. Cargill Foundation","MasterCard Foundation","MAVA Foundation","McKnight Foundation","MetLife Foundation","Michael & Susan Dell Foundation","Oak Foundation","Omidyar Network Fund, Inc.","Rockefeller Foundation","Wellcome Trust","William & Flora Hewlett Foundation","World Diabetes Foundation","Dutch Postcode Lottery","Norwegian Postcode Lottery","People's Postcode Lottery","Swedish Postcode Lottery","G7 Countries, Total","DAC-EU Countries, Total","United Postcode Lotteries, Total"
"LDCs, Total","","47904.05","29947.45","617.36","17339.24","393.03","994.73","105.9","495.83","1194.23","12.11","639.73","291.27","1699.55","1782.28","1.45","1.36","14.29","325.4","157.4","5462.08","515.17","120.17","693.83","87.27","1053.2","46.6","101.57","3.34","0.57","157.75","1071.15","530.98","3547.26","8840.98","3772",,,"1.85","0.02","3.15","2.24","0.53","60.8","0.22",,"10.32",,,"0.56","59.99",,,"24",,"287.7","165.98",,"544.32","544.32","2562.67","1618.75","134.47","1484.28","662.22","662.22","195.82","195.82",,"20.05",,,"65.83","1647.33","20.82","11.29","283.29","21.44","29","242.91",,,"142.18","105.15","457.33",,"33.69",,,"229.16","71.08",,"5661.09","5661.09",,"5661.09",,"3151.83","3.25","73.12","134.57",,,"5.77","766.12","135.74","1984.01","3.46",,,"-0.4","46.18",,,,,,,"319.79",,"27.01",,,"17.39",,,"18.54",,,"1",,,,,"1.71",,,,"7.44",,"0.15",,,,,,,,,,,,"22683.78","11254.52",
"Other LICs, Total","","936.64","571.55","34.63","330.47","5.07","35.86","0.21","1.96","12.76","0.25","23.67","1.77","4.77","34.22","0.06","0.01",,"9.45","0.86","12.42","2.76","0.52","1.09","0.37","35.13","0.07","0.12",,,"0.96","42.2","30.42","148.76","170.87","102.24",,,,,,,,"0.58",,,,,,"0.05","33.61",,,"0.01",,"0.36","0.01",,"-1.8","-1.8","3.27","3.27","0.07","3.2",,,,,,,,,,"64.03","0.77","0.27","-1.22","1.29","1.41","9.4",,,"4.23","4.95","7.23",,,,,"30.7","4.99",,"0","0",,"0",,"162.73",,"-0.54",,,,,"18.3","2.14","142.42",,,,,"0.41",,,,,,,"5.07",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"384.66","270.96",
"LMICs, Total","","42572.39","21346.8","7979.04","13246.55","468.86","1596.19","91.98","155.63","661.35","22.98","289.96","134.94","1903.12","2371.66","6.95","11.79","3","61.49","118.25","1796.03","518.87","92.86","201.68","76.24","468.84","32.11","161.14","5.26","2.88","419.76","449","529.78","2414.64","6748.42","4274.75",,"0.35",,"0.02","4.24","101.3","0.25","149.86","0.51",,"0.6",,,"16.42","167.89",,,"2.55",,"2543.92","4991.13",,"101.19","101.19","1586.54","539.37","3.32","536.05","241.67","241.67","769.68","769.68",,,"8.9",,"26.92","1210.6","13.04","15.59","131.98","18.5","19.56","101.68",,,"90.89","23.94","218.4",,"6.74","456.53",,"68.02","45.73",,"3418.71","3418.71",,"3418.71",,"2654.76","1.24","5.38","252.66",,,"84.34","579.54","166.38","1409.21","5.86",,"2.03","-1.85","101.04","48.93",,,,,,"450.86",,"5.48",,,"7.79",,,"0.17",,,"0.2",,,,,"0.28",,,,"2.44",,"1.63",,,,,,,,,,,,"16013.47","8948.08",
"UMICs, Total","","13370.4","7809.01","339.54","5221.85","69.7","217.27","123.64","72.53","153.58","11.03","10.35","34.67","1530.5","1527.62","5.32","9.56","0.24","13.42","53.09","-446.57","90.99","14.26","42.63","59.15","848.92","32.25","19.76","2.72","8.2","77.16","210.9","205.51","363.2","2517.1","4769.99",,,,"0.13","1.03","12.57","0.2","-26.8","0.11",,"2.62",,,"2.35","66.47",,,"1.06",,"212.38","67.42",,"-23.4","-23.4","231.28","-1.56","3.7","-5.27","45.78","45.78","63.81","63.81",,"27.37","108.53",,"-12.65","360.47","10.35","15.56","19.16","20.39","15.46","29.89","0.07",,"38.71","28.61","53.87",,"2.05","82.11",,"18.19","26.06",,"-921.56","-921.56",,"-921.56",,"805.08","2.32","0.86","-10.53",,,"59.79","3.18","243.69","373.49","2.42",,"35.2","-1.75","52.94","43.47",,,,,,"43.3",,"11.33",,,"0.5",,,,,,,,,,,"5.25",,,,"5.37",,"3.95",,,,,,,,,,,,"5698.53","4162.82",
"MADCTs, Total","","198.05","105.91","7.98","84.16","1.26","8.75","0.3","0.27","3.38","0.01","0.36","0.87","13.16","39.62","0.03",,,,"0.23","5.28","0.51","0.37",,"10.4","9.53",,"0.15",,,"2.53","0.29","0.77","7.04","2.05","42.12",,,,,,"0.99",,"-0.64",,,,,,"0.01",,,,"0.1",,"0.27","7.25",,,,"18.5","-0.34","0.4","-0.74","-0.17","-0.17","4.44","4.44",,"14.57",,,,"10.35","0.84","1.9",,"2.27","0.15","1.51",,,"1.19",,"1.66",,,,,,"0.83",,"-0.08","-0.08",,"-0.08",,"13.27",,"0.92",,,,"0.12",,"11.25","1.05",,,,,"-0.06",,,,,,,"0.9",,,,,,,,,,,,,,,,,,,,,,"0.36",,,,,,,,,,,,"70.75","65.24",
"Part I Unallocated by income","","46156.39","33649.53","6065.61","6441.26","1726.35","1296.44","221.25","580.6","1486.25","10.66","1170.45","358.68","1649.41","3695.71","29.81","11.56","11.88","135.83","537.58","1669.75","181.28","70.62","2707.64","117.11","1900.2","16.06","20.05","4.86","8.98","286.81","2144.38","1208.13","4036.65","8080.89","2685.34",,,"22.41","3.11","3.02","69.03","4.37","1.65","0.61","23.71","4.17","11.97",,"0.76","33.89","5387.95","231.9",,,"112.04","155.01",,,,"1117.9","164.03","1.2","162.83","54.94","54.94","896.01","896.01",,"2.91",,,,"2115.36","405.93","34.35",,"234.47","180.86","79.89","14.23",,"76.51","254.78","491.44",,"0.25",,,"17.64","325.02",,"14.02","14.02",,"14.02",,"508.63",,"1.58","9.83",,,"1.03","176.99","192.56","35.97","3.99",,,"32.39","12.46","41.83",,,,,,"1693.76",,"0.04",,,"11.38",,,"0.81",,,,,,,,,,,,"17.71",,"2.65",,,,,,,,,,,,"21156.25","17697.59",
"WorldBank Low income countries","","33536.91","19850.27","2194.79","11491.86","224.71","299.93","57.08","430.01","792.31","10.45","456.2","167.38","696.31","1638.2","2.07","0.9","14.81","253.76","123.58","1831.18","262.93","87.67","599.64","10.34","831.67","7.71","76.65","3.48","0.61","120.96","817.14","339.13","2667.06","7251.1","3040.72",,"0.2","1.85","0.02","3.16","12.9","0.53","45.4","0.29",,"10.32",,,"1.03","68.13",,,"0.65",,"1891.93","158.38",,"86.63","86.63","1426.96","1224.46","134.27","1090.19","162.68","162.68",,,,,,,"39.81","1273.71","11.84","7.06","220.84","9.42","18.83","166.19",,,"89.67","79.66","367.82",,"29.99","24.08",,"206.21","42.08",,"3673.96","3673.96",,"3673.96",,"1989.88","3.25","54.9","88.43",,,"1.98","538.07","73.88","1176.46","2.91",,,"-2.92","52.9",,,,,,,"183.49",,"16.86",,,"12.48",,,"10.31",,,,,,,,,,,,"1.57",,,,,,,,,,,,,,"14999.74","8216.87",
"WorldBank Lower-middle income countries","","54582.97","30347","6212.87","18023.09","640.19","2352.13","117.06","226.72","1006.87","15.01","479.9","245.45","2869.69","2467.06","5.28","12.04","2.48","140.9","147.6","5440.43","761.33","116.34","287.08","148.85","678.56","63.87","185.95","3.67","1.4","421.26","648.78","643.08","3329.47","7528.74","4311.98",,,,"0.02","1.63","48.05","0.2","121.46","0.14",,"0.31",,,"2.11","182.09",,,"25.91",,"919.28","4911.67",,"593.61","593.61","2507.74","937.4","4.06","933.34","683.05","683.05","808.92","808.92",,"22.85",,,"55.52","1484.66","21.91","17","186.13","31.08","30.53","184.36",,,"145.36","46.54","311.04",,"8.44","309.44",,"111.5","81.33",,"5296.96","5296.96",,"5296.96",,"3828.13",,"23.06","212.39",,,"88.13","823.54","226.95","2319.81","6.36",,"1.86","0.67","105.44","19.91",,,,,,"590.18",,"15.63",,,"12.69",,,"8.4",,,"1.2",,,,,"1.99",,,,"8.31",,"1.78",,,,,,,,,,,,"22789.86","11784.53",
"WorldBank Upper-middle income countries","","16218.37","9065.83","562.67","6589.87","71.75","156.71","147.31","69.07","222.15","20.9","27.62","49.75","1461.94","1603.6","6.38","9.77","0.24","15.1","57.87","-466.31","103.14","23.65","52.51","26.04","895.89","39.43","19.86","4.17","9.64","116.23","307.29","314.44","294.38","3477.07","5542.35",,"0.15",,"0.13","3.62","54.97","0.25","17.59","0.41",,"2.91",,,"16.23","77.74",,,"1.06",,"233.11","154.49",,"-59.93","-59.93","447.73","-2.04","3.23","-5.27","103.46","103.46","219.13","219.13",,"24.98","117.44",,"-15.24","519.73","10.71","18.3","26.24","20.6","15.74","33.21","0.07",,"39.66","36.45","57.23",,"4.04","205.12",,"28.35","24.03",,"-812.7","-812.7",,"-812.7",,"952.69","3.56","0.86","75.87",,,"59.79","5.53","243.42","412.86","2.46",,"35.37","-1.75","42.22","72.49",,,,,,"45.35",,"11.33",,,"0.5",,,,,,,,,,,"5.25",,,,"5.37",,"3.95",,,,,,,,,,,,"6650.69","4336.46",
"WorldBank High income countries","","240.31","150.64","8.07","81.59","1.26","32.74","0.3","0.27","3.48","0.01","0.36","0.9","13.27","39.69","0.04",,,,"0.37","21.92","0.6","0.41",,"2.85","9.53",,"0.15",,,"2.53","0.29","0.77","4.25","15.9","38.46",,,,,,"1.06",,"-0.64",,,,,,"0.01",,,,"0.09",,"0.3","7.25",,,,"19.2","-0.34","0.4","-0.74","0.48","0.48","4.44","4.44",,"14.62",,,,"10.69","1.1","1.98",,"2.35","0.15","1.53",,,"1.19",,"1.66",,,,,,"0.73",,"-0.08","-0.08",,"-0.08",,"13.32",,"0.92",,,,"0.12",,"11.3","1.05",,,,,"-0.06",,,,,,,"0.9",,,,,,,,,,,,,,,,,,,,,,"0.36",,,,,,,,,,,,"98.88","62.85",
"Countries not classified by the World Bank","","402.98","366.97","0.15","35.86",,"11.29","0.28","0.15","0.48","0",,"0.04","109.89","6.85","0.03","0.01",,,"0.41","2.02","0.3","0.12",,"45.35","-0.03","0.02","0.14",,,"-2.82","0.04","0.04","185.74","6.61","27.6",,,,,,"0.12",,,,,,,,"0.01",,,,"0.01",,"0.01",,,,,"0.62",,,,"-0.17","-0.17","1.25","1.25",,"-0.46",,,,"3.99","0.27","0.27",,"0.45","0.34","0.1",,,"1.32",,"0.74",,,,,,"0.51",,,,,,,"3.65",,,,,,,,"3.65",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"312","300.91",
"HIPCs, Total","","40595.74","23298.29","548.01","16749.43","385.66","250.69","73.56","515.68","1156.78","9.41","572.16","238.66","1398.94","1696.31","1.65","0.82","14.37","310.76","165.27","2301.98","366.92","113.18","588.61","8.92","876.72","5.48","94.03","2.56","0.58","433.21","909","463.06","2597.65","8131.33","3684.26",,,"1.85","0.03","2.94","2.76","0.53","59.26","0.22",,"10.32",,,"0.69","94.39",,,"1.04",,"264.15","109.84",,"291.97","291.97","2938.2","1776.35","134.69","1641.66","162.68","162.68","886.41","886.41",,"21.97",,,"90.78","1363.28","17.08","10.54","266.14","15.85","26.27","198.09",,,"117.95","55.56","404.04",,"30.45",,,"170.64","50.66",,"5503.15","5503.15",,"5503.15",,"2968.57","3.25","74.89","98.66",,,"3.02","700.43","122.82","1899.57","2.91",,,"-1.47","64.48",,,,,,,"314.71",,"24.76",,,"20.21",,,"18.54",,,,,,,,,,,,"7.44",,,,,,,,,,,,,,"17448.26","9727.53",
"Land-Locked countries, Total","","26136.64","15621.63","654.4","9860.61","242.64","353.86","66.17","243.08","554.36","19.45","381.48","167.12","455.23","1321.39","1.98","2.35","10.87","176.27","63.48","1745.01","301.96","97.12","466.96","14.05","670.9","10.98","1.54","4.24","4.26","85.46","553.13","435.6","1931.72","5481.59","2482.18",,,"1.85","0.02","4.13","4.47","0.53","3.77","0.46",,"10.44",,,"14.37","140.12",,,"36.94",,"368.36","68.95",,"24.25","24.25","1770.24","816.24","3.4","812.84","582.15","582.15","328.92","328.92",,,"11.56",,"31.37","981.92","10.72","11.09","189.48","12.89","19.44","137.03",,,"76.98","73.03","251.18",,"14.28",,,"151.34","34.44",,"2782.11","2782.11",,"2782.11",,"1819.91","3.25","14.4",,,,"4.18","346.17","98.75","1275.64","3.93",,,"-2.6","39.27","36.91",,,,,,"201.18",,"21.42",,,"14.96",,,"1.15",,,,,,,,,,,,"3.94",,,,,,,,,,,,,,"11552.78","6053.43",
"Small island states, Total","","4505.12","2945.91","16.8","1542.41","5.42","1051.08","1.53","25.76","119.64","0.74","0.06","6.18","199.1","26.01","0.03","0.03","0.19","3.21","6.96","174.65","19.15","21.62","8.85","153.66","25.96","0.11","201.92",,"0.9","45.36","6.88","31.7","96.7","717.93","535.17",,,,,"0.01","0.42",,"-2.5",,,,,,"0.02","2.76",,,"0.38",,"4.31","11.4",,"8.3","8.3","438.55","8.97","1.12","7.85","131.57","131.57","237.87","237.87",,"61.99",,,"-1.86","110.17","7.56","1.96","9.78","6.87","3.99","21.23",,,"14.23","0.76","22.44",,"0.68",,,"4.83","15.84",,"215.84","215.84",,"215.84",,"234.39",,"4.13",,,,"2.07","12.08","43.08","144.02",,,,"-1.23","30.23",,,,,,,"4.25",,,,,,,,,,,,,,,,,,,,"1.18",,,,,,,,,,,,,,"1340.99","651.95",
"Fragile states, Total","","64523.01","39922.98","2790.08","21809.94","582.39","1446.87","130.68","474.53","1444.36","16.03","718.68","333.55","2155.31","2687.48","4.3","2.73","11.21","338.01","203.75","6569.31","554.29","130.61","743.81","77.11","1238.27","51.17","66.97","5.41","0.89","441.7","1361.91","649.9","4834.3","13229.85","5117.01",,"0.2","1.85","0.03","3.63","46.01","0.58","66.07","0.3",,"10.32",,,"1.92","161.81",,,"22.51",,"2096.64","378.21",,"696.86","696.86","3100.23","1835.29","134.99","1700.3","445.59","445.59","728.4","728.4",,"20.05",,,"70.9","2255.87","23.17","16.63","302.04","25.33","39.58","270.88",,,"178.63","89.92","568.32",,"39.31","333.52",,"283.72","84.82",,"6605.35","6605.35",,"6605.35",,"4034.62","1.24","68.34","122.44",,,"7.35","1116.1","151.46","2476.57","2.93",,,"-0.83","81.61","7.41",,,,,,"515.25",,"19.53",,,"19.63",,,"17.8",,,"1",,,,,"1.71",,,,"7.33",,"0.15",,,,,,,,,,,,"31124.37","14701.81",
"Afghanistan","","5152.54","4259.22","164.99","728.33","11.07","104.44","1.59","5.75","122.12","3.79","59.44","34.41","49.65","548.69","0.42","0.57","0.75","4.86","59.47","718.53","122.41","4.13","79.95","7.43","126.64","3.43","0.23","2.4","0.31","19.23","125.52","27.77","331.23","1694.07","250.14",,,"1.85",,"2.41",,"0.53",,"0.19",,"10.32",,,"0.3",,,,"0.02",,"89.73","59.64",,"-12.6","-12.6","168.67",,,,"162.68","162.68",,,,,,,"5.98","69.01","0.57","0.39","8.68","0.5",,"13.17",,,"6.35",,"32.87",,,,,"5.21","1.28",,"182.88","182.88",,"182.88",,"70.24",,,,,,,"32.52","2.71","34.99",,,,,"0.02",,,,,,,"11.07",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"3523.75","1335.06",
"Albania","","269.98","117.89","42.58","109.52","2.05","0.01","10.11",,"0.03","0.22","1.03","0.44","4.67","29.7","2.34","0.04",,"0.07","9.49","-0.51",,"0.01",,,"1.72","0.14","0","0.03","0.26","-4.97","11.68","28.31","1.19","21.89","97.11",,,,,"0.07","0.08",,"4.02",,,,,,"0.44","0.68",,,,,"9.24","28.05",,"-8.35","-8.35","4.36",,,,,,,,,,"1.73",,"2.62","4.93","0.18","0.7","1.98","0.08",,"0.43","0",,"0.55",,"0.98",,,,,,"0.03",,"-4.68","-4.68",,"-4.68",,"16.16",,,,,,,"0.16","1.33","0.18",,,,,"11.16","3.32",,,,,,"0",,,,,,,,,,,,,,,,,,,,"2.05",,,,,,,,,,,,,,"66.45","66.44",
"Algeria","","203.42","97.78","45.84","59.8",,"0.07","0.2","7.62","-0.58","0.1","0.11","0.2","72.07","6.1","0.02","0.01",,,"0.42","1.59","4.39",,"0.08",,"0.11",,"0.02",,,"-16.14","1.38","2.64","4.86","12.51","51.6",,,,,,,,,,,,,,"0.03",,,,,,"2.15","43.66",,,,"0.47","0.47","0.47",,,,,,,,,,,"4.87","0.15","0.41",,"0.23","0.22","1.26",,,"0.46",,"1.34",,,,,,"0.8",,,,,,,"2.86",,,"0.02",,,,,"2.86","-0.03",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"96.98","77.06",
"Angola","","285.54","143.72","0.16","141.66","2","0.23","0.02","0.17","0.54","0.2","2.84","0.95","5.27","4.16","0.01","0.01",,"0.74","1.33","15.17","10.28",,"-3.08",,"9.99","40.44","-9.68",,,"0.01","1.2","1.23","0.56","61.14","33.16",,,,,,"0.01",,,,,,,,"0.07",,,,,,"0.08",,,,,"0.96","0.96",,"0.96",,,,,,,,,,"16.95","0.48","0.46","1","0.75","0.76","1.15",,,"3.57","0.03","7.24",,,,,,"1.5",,"46.81","46.81",,"46.81",,"43.79",,,,,,,"4.55","2.3","38.16",,,,,"-1.23",,,,,,,"2",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"88.17","45.13",
"Anguilla","","7.63","2.84",,"4.79",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2.82","0.02","5.06",,,,,,,,,,,,,,,,,,,,,,,,,"-0.27",,,,,,,,,"-0.27",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2.84","2.82",
"Antigua and Barbuda","","1.59","0.79","0.02","0.79",,"0.05",,,"0.05",,,"0.02","0.01","0","0.01",,,,"0.01","0.35","0.12",,,,,,,,,,,,"0.03","0.12","0.62",,,,,,"0.02",,,,,,,,,,,,,,,,,,,"-0.22",,,,,,,,,"-0.22",,,,"0.34","0.26",,,"0.08",,,,,,,,,,,,,,,,,,,,"0.05",,,,,,,,"0.05",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0.58","0.09",
"Argentina","","34.73","26.97","0.2","7.55","1.12","0.82","0.25","0.04","2.18","0.01",,"0.11","12.85","19.57","0.09",,,"0.14","0.17","1.11",,"0.16",,"0.14","0","0.02","0.12",,,"-16.23","0","0.22","1.48","3.73","-7.04",,,,,,"2.86",,"-2.83",,,,,,"0.03",,,,"0.07",,"0.07","0.01",,,,"-2.23",,,,,,"-2.23","-2.23",,,,,,"5.57","0.03","1.12",,"1.76","0.82","0.36",,,"0.71",,"0.78",,,,,,,,,,,,,"11.25","2.32",,,,,,,"7.44","1.49",,,,,,,,,,,,"1.1",,,,,,,,,,,,,,,,,,,,,,"0.02",,,,,,,,,,,,"41.09","18.77",
"Armenia","","280.36","98.5","6.73","175.13",,,"2.86","0.21","0.09","1.13","2.86","0.11","11.11","28.47","0.35","0.01",,,"0.11","1.33",,,"0.18",,"2.95","0.57",,"0.07",,"0.07","0.08","4.16","1.29","40.48","69.67",,,,,"0.12","0.06",,,"0.01",,"0.01",,,"0.12","5.26",,,,,"0.26","0.89",,"23.61","23.61","21.66",,,,"21.66","21.66",,,,,,,,"4.96","0.71","1.31","0.44","0.1","0.06","0.94",,,"0.6",,"0.68",,,,,,"0.13",,"37.15","37.15",,"37.15",,"18.08",,,,,,,"0.8","2.68","7.65",,,,,"3.66","3.29",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"82.88","49.5",
"Aruba","",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Azerbaijan","","-70.83","100.8","26.45","-198.08",,"0.01","0.75",,"0.14","0.16","0.02","0.48","1.98","-2.22","0.02","0.02",,,"0.02","42.85","10.32","0.01","0.06",,"1.97","0.3",,"0.04",,"0.05","0.87","5.68","4.14","33.13","17.38",,,,,"0.06","0.39",,"-2.14","0.04",,"0.01",,,"0.03",,,,,,"28.68","-0.63",,"-9.78","-9.78","-4.54",,,,"0.14","0.14",,,,,,,"-4.68","12.06","0.69","0.2","7.8","0.15","0.1","1.1",,,"0.73",,"1.06",,,,,,"0.22",,"-231.52","-231.52",,"-231.52",,"18.33",,,,,,,"2.81","3.22","10.28",,,,,"-0.93","2.95",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"80.04","6.7",
"Bahamas","",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Bahrain","",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Bangladesh","","2633.59","1447.28","-4.88","1191.19","32.12","91.91","0.48","1","81.76","0.01","32.32","0.84","2.24","111.33","0.08","0.01",,"1.62","2.9","327.27","44.71","2.22","72.01","0.42","12.54","0.01",,,,"0.01","44.34","36.08","425.27","155.9","119.97",,,,,,,,"-8.3",,,,,,,,,,"0.32",,"3.01","0.1",,"328.13","328.13","95.37",,,,"97.42","97.42",,,,,,,"-2.05","74.86","1.67","0.64","12","1.95","0.49","15.02",,,"7.4",,"24.21",,,,,"6.2","5.27",,"397.37","397.37",,"397.37",,"175.5",,,,,,"1.99","96.95","4.04","71.92",,,,"1.71","-1.11",,,,,,,"28.39",,"0.87",,,,,,,,,"1",,,,,"1.71",,,,,,"0.15",,,,,,,,,,,,"1106.68","696.69",
"Barbados","",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Belarus","","107.14","64.1","5.96","37.08",,,"1.16","0.01","0.26","1.32","0.86","0.38","3.15","13.76","0.42","0.02","0.11",,"0.23","1","0.19",,"0.09",,"3.08","21.12","0","0.32","0.02","0.15","0.33","0.5","1.02","14.61","18.73",,,,,"0.31","1.55",,"-1.13","0.01",,"2.57",,,,"1.47",,,,,"1.17",,,,,,,,,,,,,,,,,,"2.26","0","0.42",,"0.02","0.14","0.22","0.06",,"0.32",,"0.99",,,,,,"0.09",,,,,,,"16.09",,,,,,,,"3.43","12.66",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"34.03","44.36",
"Belize","","51.27","16.76","0.94","33.57","0.85","0.05",,,"0.15",,,"0.03",,"0.1",,,,,,"1.22","0.76",,,,"0.17",,,,,"0.01",,,"2.6","11.67","15.65",,,,,,"0.01",,"0.9",,,,,,,,,,,,"0.01","0.02",,,,"4.22",,,,,,"1.42","1.42",,"2.8",,,,"1.5","0.34","0.16",,"0.08","0.07","0.15",,,,,"0.7",,,,,,,,,,,,,"12.2",,,,,,,,"1.95","1.45",,,,,"8.8",,,,,,,"0.85",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"15.74","2.75",
"Benin","","660.2","254.03","8.33","397.84","1.47","0.31","0.04","24.15","4.8","0.03","16.7","0.16","37.89","50.97",,,,"0.16","1.91","33.52","0.1","1.32","37.78",,,,,"0.02",,"0.62","0.89","19.05",,"23.62","78.95",,,,,,"0.02",,"5.6",,,,,,"0.04",,,,,,"1.17","1.5",,"15.19","15.19","90.13","82.77","0.03","82.74",,,,,,,,,"7.36","16.78","0.73","0.52","1.82","0.32","0.38","3.96",,,"2.2",,"5.31",,,,,"0.35","1.19",,"140.56","140.56",,"140.56",,"56.23",,"2.89",,,,,"13.3","3.8","36.45",,,,"0.16","-0.37",,,,,,,"1.47",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"152.71","172.63",
"Bermuda","",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
