"","Donor(s)","Official Donors, Total","DAC Countries, Total","Non-DAC Countries, Total","Multilateral Agencies, Total","Private Donors, Total","Australia","Austria","Belgium","Canada","Czech Republic","Denmark","Finland","France","Germany","Greece","Hungary","Iceland","Ireland","Italy","Japan","Korea","Luxembourg","Netherlands","New Zealand","Norway","Poland","Portugal","Slovak Republic","Slovenia","Spain","Sweden","Switzerland","United Kingdom","United States","EU Institutions","Azerbaijan","Bulgaria","Croatia","Cyprus","Estonia","Israel","Kazakhstan","Kuwait","Latvia","Liechtenstein","Lithuania","Malta","Qatar","Romania","Russia","Saudi Arabia","Chinese Taipei","Thailand","Timor-Leste","Turkey","United Arab Emirates","Other donor countries","International Monetary Fund, Total","IMF (Concessional Trust Funds)","Regional Development Banks, Total","African Development Bank, Total","African Development Bank [AfDB]","African Development Fund [AfDF]","Asian Development Bank, Total","Asian Development Bank [AsDB]","Inter-American Development Bank, Total","Inter-American Development Bank [IDB]","Asian Infrastructure Investment Bank [AIIB]","Caribbean Development Bank [CarDB]","Council of Europe Development Bank [CEB]","European Bank for Reconstruction and Development [EBRD]","Islamic Development Bank [IsDB]","United Nations, Total","Food and Agriculture Organisation [FAO]","International Atomic Energy Agency [IAEA]","IFAD","International Labour Organisation [ILO]","UNAIDS","UNDP","UNECE","UNEP","UNFPA","UNHCR","UNICEF","UN Institute for Disarmament Research [UNIDIR]","UN Peacebuilding Fund [UNPBF]","UNRWA","UNTA","WFP","World Health Organisation [WHO]","World Tourism Organisation [UNWTO]","World Bank Group, Total","World Bank, Total","International Bank for Reconstruction and Development [IBRD]","International Development Association [IDA]","International Finance Corporation [IFC]","Other Multilateral, Total","Adaptation Fund","Arab Bank for Economic Development in Africa [BADEA]","Arab Fund (AFESD)","Center of Excellence in Finance [CEF]","Central Emergency Response Fund [CERF]","Climate Investment Funds [CIF]","Global Alliance for Vaccines and Immunization [GAVI]","Global Environment Facility [GEF]","Global Fund","Global Green Growth Institute [GGGI]","Green Climate Fund [GCF]","Montreal Protocol","Nordic Development Fund [NDF]","OPEC Fund for International Development [OPEC Fund]","OSCE","Other Multilaterals","Arcadia Fund","Arcus Foundation","BBVA Microfinance Foundation","Bernard van Leer Foundation","Bill & Melinda Gates Foundation","Carnegie Corporation of New York","Charity Projects Ltd (Comic Relief)","Children's Investment Fund Foundation","Citi Foundation","Conrad N. Hilton Foundation","David & Lucile Packard Foundation","Ford Foundation","Gatsby Charitable Foundation","Gordon and Betty Moore Foundation","Grameen Crédit Agricole Foundation","H&M Foundation","IKEA Foundation","Jacobs Foundation","John D. & Catherine T. MacArthur Foundation","La Caixa Banking Foundation","Laudes Foundation","LEGO Foundation","Margaret A. Cargill Foundation","MasterCard Foundation","MAVA Foundation","McKnight Foundation","MetLife Foundation","Michael & Susan Dell Foundation","Oak Foundation","Omidyar Network Fund, Inc.","Rockefeller Foundation","Wellcome Trust","William & Flora Hewlett Foundation","World Diabetes Foundation","Dutch Postcode Lottery","Norwegian Postcode Lottery","People's Postcode Lottery","Swedish Postcode Lottery","G7 Countries, Total","DAC-EU Countries, Total","United Postcode Lotteries, Total"
"Belize","","24.2","11.64","-0.72","13.28","2","0.71",,,"0.43",,,"0.01",,"0.11",,,,,,"7.46","0.07",,,"0.02",,,,,,"0.2",,,"0.08","2.55","7.38",,,,,,"0.02",,"-0.79",,,,,,,,,,,,,"0.05",,,,"2.28",,,,,,,,,"2.28",,,,"2.03",,"0.3",,,"0.01","0.61",,,,,"1.11",,,,,,,,,,,,,"1.59",,,,,,,,"0.48","0.94",,,,,"0.17",,,,,,,"2",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"10.63","0.4",
"Benin","","689.27","340.35","1.19","347.73","3.6","0.38","0.09","28.97","6.37","0.02","39.11","0.69","48.79","34.67",,,,"0.12","2.11","29.13","0.15","1.96","31.26",,"0.05",,,,,"1.09","1.88","13.25",,"100.26","122.75",,,,,,"0.04",,"0.95",,,,,,,,,,,,"0.03","0.17",,"16.2","16.2","52.53","46.51",,"46.51",,,,,,,,,"6.02","17.44",,"0.29","1.65",,"0.47","5",,,"2","0.37","6.39",,,,,"1.27",,,"85.31","85.31",,"85.31",,"53.5",,"3.52",,,,,"5.15","1.73","43.54",,,,"-0.14","-0.3",,,,,,,"3.6",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"221.33","190.76",
"Bermuda","",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Bhutan","","97.24","75.59","0.72","20.93","0.97","7.55","3.31",,"0.25",,"13.08","0.26","0.18","0.38",,,,,,"43.23","0.35",,"2.66","0.04","1.88",,,,,,,"2.31",,"0.11","1.79",,,,,,,,,,,,,,,,,,"0.72",,,,,,,,,,,,,,,,,,,,"7.86",,,"4.04",,,"1.45",,,"1",,"1.01",,,,,"0.36",,,"7.19","7.19",,"7.19",,"4.09",,,,,,,"0.04","2.67","1.38",,,,,,,,,,,,"0.97",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"44.15","19.87",
"Bolivia","","560.27","431.64","0.1","128.53","0.48","0.03","0.3","20.87","19.02","0.09","40.5","1.22","12.24","42.49","0.01",,,"0.83","4.82","54.2","1.66","1.19","47.54","0.01","5.85","0.03",,,,"69.01","27.73","21.59","0.08","60.33","64.69",,,,,,"0.02",,,,,,,,,,,,"0.01",,"0.05","0.02",,,,,,,,,,,,,,,,,"5.75",,"0.17","0.1",,"0.09","1.54",,,"1.7",,"1.39",,,,,"0.76",,,"43.99","43.99",,"43.99",,"14.1",,,,,,,"3.31","2.5","7.73",,,,"0.94","-0.38",,,,,,,"0.48",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"193.18","268.95",
"Bosnia and Herzegovina","","511.18","245.13","22.32","243.73",,"0.01","31.38","-0.19","0.38","3.1","1.32","2.31","3.5","29.95","0.44","0.24","0.47","0.06","4.92","2.24","25.13","0.04","14.8",,"18.23","0.01","3.62","0.6","1.51","20.21","28.02","19.29","9.68","23.86","105.09",,,,,"0.02",,,"-3.63",,,,,,,,,,,,"25.9","0.03",,,,"3.79",,,,,,,,,,"2.26",,"1.53","6.05",,"0.74","2.93",,"0.12","0.51",,,"0.56","0.39","0.8",,,,,,,,"97.19","97.19",,"97.19",,"31.61",,,,,,,"0.6","3.02","8.81",,,,,"1.24","17.94",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"74.53","155.52",
"Botswana","","154.67","103.41","-0.47","51.73","1.02","0.68",,"0.2","1.49",,"0.54","0.18","6.46","2.44",,,,"0.02",,"10.71","0.01",,,,"0.63",,"0.01",,,,"4.68",,"1.06","74.3","39.28",,,,,,"0.01",,"-0.58",,,,,,,,,,"0.09",,"0.01",,,,,"-1.82","-1.82",,"-1.82",,,,,,,,,,"5.16",,"0.46",,,"0.65","1.17",,,"1.43","0.66","0.79",,,,,,,,"-0.48","-0.48",,"-0.48",,"9.59",,"0.02",,,,,,"2.56","2.05",,,,"-0.2","5.16",,,,,,,"1.02",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"96.46","15.59",
"Brazil","","464.78","399.56","1.49","63.74","5.63","0.11","1.96","3.96","7.11","0.15",,"1.38","46.58","247.45","0.45","0.01",,"0.82","9.2","-62.65","0.37","2.09","0.41","0.2","37.42","0.07","8.1",,,"26.39","2.02","4.52","40.73","20.71","21.3",,,,,,"1.27",,,,,,,,,,,,"0.02",,"0.07","0.13",,,,,,,,,,,,,,,,,"6.39",,"0.72","0.09",,"0.63","1.38",,,"1.55","1.06","0.96",,,,,,,,,,,,,"36.05",,,,,,,,"27.53","8.52",,,,,,,,,,,,"5.63",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"309.13","391.77",
"British Virgin Islands","",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Brunei Darussalam","",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Burkina Faso","","1044.62","440.78","5.33","598.51","5.87","0.42","4.92","15.99","30.83","0.02","33.33","0.08","63.83","52.51","0.07",,,"0.02","4.26","41.59","0.28","17.9","54.36",,"0.82",,,,"0.04","12.28","34.88","28.2","0.1","44.05","164.11",,,,,,"0.07",,"2.45",,,,,,,,,,,,"0.74","2.07",,"20.16","20.16","106.93","80.8",,"80.8",,,,,,,,,"26.13","40.94",,"0.52","2.62",,"0.6","7.43",,,"2.89",,"19.13",,,,,"7.75",,,"191.23","191.23",,"191.23",,"75.14",,"4.24",,,,,"5.77","3.07","62.22",,,,"3.17","-3.33",,,,,,,"5.87",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"237.17","294.59",
"Burundi","","627.61","282.14","0.35","345.12","1.02","0.45","0.44","56.88","4.69",,"3.47","0.47","15.19","29.46","0.06",,,"1.59","6.08","39.06","0.04","1.15","19.07",,"19.45",,,,"0.03","1.24","8.1","12.05","20.14","43.03","131.2",,,,,,"0.03",,,,,,,,"0.01",,,,"0.24",,"0.07",,,"20.14","20.14","17.06","17.06",,"17.06",,,,,,,,,,"41.81",,,"5.22",,"0.64","13.02",,,"2.37","3.83","10.01",,"5.67",,,"1.05",,,"107.38","107.38",,"107.38",,"27.54",,"0.95",,,,,"1.8","0.29","23.17",,,,,"1.33",,,,,,,"1.02",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"157.65","163.37",
"Cabo Verde","","326.98","247.56","-0.75","80.17",,"0.2","4.36","0.39","0.15","0.01",,"0.03","2.97","-0.88",,,,,"0.12","17.4",,"16.87","4.14",,,,"142.13",,,"21.23","0.1","0.71","0.9","36.73","36.93",,,,,,,,"-0.75",,,,,,,,,,,,,,,"-2.26","-2.26","16.23","16.02",,"16.02",,,,,,,,,"0.21","3.33",,,"0.97",,,"0.87",,,"1.18",,"0.27",,,,,"0.04",,,"21.7","21.7",,"21.7",,"4.24",,"0.05",,,,,,"1.26","1.97",,,,"-0.06","1.02",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"57.39","192.37",
"Cambodia","","681.04","517.12","2.19","161.73","7.2","53.91","0.04","5.82","8.18","0.2","18.04","4.05","26.55","41.26",,,,"3.07","0.34","147.46","37.33","0.44","1.26","4.07","4.72","0.02",,,,"23.08","23.69","3.48","26.01","84.1","27.31",,,,,,,,"0.62",,,,,,,,,,"1.55",,,"0.03",,,,,,,,,,,,,,,,,"29.53",,"0.01","3.07",,"0.66","9.48",,,"4.18","0.35","7.69",,,,,"4.09",,,"32.8","32.8",,"32.8",,"72.09",,,,,,,"3.56","2.63","61.22",,,,"3.45","1.23",,,,,,,"7.2",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"333.9","173.87",
"Cameroon","","540.23","267.1","0.16","272.97","1.94","0.32","0.34","4.25","7.2","0.07","0.21","0.42","82.08","90.53","0.16","0.04",,"0.37","4.3","42.03","2.57","0.24","0.17",,"0.4","0.11",,,,"9.04","0.62","2.22","1.03","18.38","74.22",,,,,,"0.2",,"-0.8",,,"0.01",,,,,,,,,"0.45","0.3",,,,"63.41","61.24","3.69","57.55",,,,,,,,,"2.17","27.17",,"0.64","3.11",,"0.54","3.87",,,"4.1","3.35","6.4",,,,,"5.16",,,"82.83","82.83",,"82.83",,"25.35",,"-0.1",,,,,"11.92","2.89","11.98",,,,,"-1.34",,,,,,,"1.94",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"245.55","193.98",
"Cayman Islands","",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Central African Republic","","260.98","112.81","0.5","147.68","0.36","0.03","5.22","2.59","1.4","0.02",,"2.94","24.53","3.14","0.01",,,"3.33","2.55","8.09","0.27","0.41","1.99",,,,,,,"3.28","8.68","20.87","3.02","20.44","84.78",,,,,,"0.01",,,,,,,,,,,,,,"0.32","0.17",,"13.23","13.23","0.69","0.69",,"0.69",,,,,,,,,,"22.92",,"0.58","-0.9",,"0.42","4.4",,,"2.6","0.41","5.66",,"5.63",,,"4.12",,,"17.77","17.77",,"17.77",,"8.29",,"0.06",,,,,"0.88",,"7.35",,,,,,,,,,,,"0.36",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"63.17","61.71",
"Chad","","490.16","289.73","-0.64","201.07","1.53","0.22","0.04","7.34","11.68","0.08","0.67","4.64","40.65","20.09","0.02",,,"3.78","0.56","13.76","0.04","1.59","4.9",,"1.65",,"0.97",,"0.01","7.78","12.25","14.94","2.86","139.21","101.9",,,,,,"0.03",,"-1.34",,,,,,,,,,"0.03",,"0.06","0.57",,"-11.14","-11.14","27.54","11.68",,"11.68",,,,,,,,,"15.86","41.71",,"0.21","3.48",,"0.63","7.89",,,"3.91","7.01","15.51",,,,,"3.07",,,"-3.83","-3.83",,"-3.83",,"44.89",,"6.1",,,,,"3.18","0.41","32.45",,,,,"2.75",,,,,,,"1.53",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"228.81","108.23",
"Chile","","181.91","157.5","2.89","21.52","0.79","6.06","0.43","1.04","2.68","0.33",,"0.82","10.13","71.84","0.41","0.03",,"0.42","1.82","15.91","2.43","0.52","0.28","0.7","13.07",,"0.04",,,"11.26","1.62","1.89","0.66","13.11","16.15",,,,,,"0.34",,,,,,,,,,,,"0.02",,"2.53",,,,,,,,,,,,,,,,,,"3.04",,"0.59",,,"0.35","0.95",,,"0.18",,"0.97",,,,,,,,"-0.69","-0.69",,"-0.69",,"3.01",,,,,,,,"3.01",,,,,,,,,,,,,"0.79",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"116.15","101.65",
"China (People's Republic of)","","671.89","748.22","6.54","-82.87","15.22","32.27","17.18","-3.38","9.02","0.16","0.75","5.61","316.69","321.5","0.58","0.78",,"0.16","-26.71","-192.66","3.09","0.9","3.95","1.5","22.55","45.23","0.12",,"0.03","1.44","6.94","8.08","86.72","85.72","42.59",,,,"0.03",,"0.89",,"3.21",,,"0.01",,,"0.06",,,,"0.37",,"1.83","0.14",,,,,,,,,,,,,,,,,"38.39",,"1.54","13.71",,"1.35","6.26",,,"3.44","1.09","11",,,,,,,,"-349.62","-349.62",,"-349.62",,"185.77",,,,,,,,"60.49","111.95",,,"13.48","-0.15",,,,,,,,"15.22",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"600.28","778.65",
"Chinese Taipei","",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Colombia","","673.09","560.93","1.64","110.52","0.88","0.09","0.85","4.6","22.63","0.14","0.32","2.06","160.26","45.27","0.08",,,"1.47","3.64","-26.16","6.97","1.83","26.31",,"14.19","0.02","0.02",,"0.11","56.15","25.08","14.76","2.64","197.6","53.66",,,,,,"1.39",,,,,,,,"0.01",,,,"0.03",,"0.03","0.18",,,,,,,,,,,,,,,,,"6.62",,"0.65","1.86",,"0.17","0.92",,,"1.83","0.29","0.85",,,,,"0.05",,,"-0.71","-0.71",,"-0.71",,"50.94",,,,,,,,"10.05","10.78",,,,"-0.04","30.15",,,,,,,"0.88",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"405.88","330.85",
"Comoros","","69.91","22.36","16.45","31.1",,,,,"0.24",,,,"20.9",,,,,,,"0.7",,,,,,,,,,,,,"0.12","0.4","10.67",,,,,,,,"0.26",,,,,,,,,,,,"0.06","16.13",,"2.38","2.38","0.03","-0.73",,"-0.73",,,,,,,,,"0.76","7.09",,,"0.79",,,"1.46",,,"0.81",,"1.07",,"2.96",,,,,,"4.91","4.91",,"4.91",,"6.01",,,,,,,"0.33","1.11","4.66",,,,,"-0.09",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"22.36","21.02",
"Congo","","1315.09","1219.05","0.68","95.36","2.06",,"0.05","56.76","21.94","0.12","0.1",,"909.4","9.38","0.58","0.01",,,"97.46","5.98","0.27","0.07",,,"0.57","0.04",,,,"0.49","1.38","10.68","78.75","25.02","32.17",,,,,,,,,,,,,,"0.03",,,,,,"0.62","0.03",,"1.84","1.84","4.46","4.46",,"4.46",,,,,,,,,,"15.23",,,"2.89",,"1.72","1.65",,,"2.29","0.55","5.59",,,,,"0.54",,,"21.36","21.36",,"21.36",,"20.3",,"-0.87",,,,,"0.66","0.38","20.26",,,,,"-0.13",,,,,,,"2.06",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1147.93","1154.59",
"Cook Islands","","13.68","13.41",,"0.27",,"3.57",,,,,,,"-0.12",,,,,,,"0.09",,,,"9.81",,,,,,,,,,"0.06","0.11",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0.06",,,,,,"0.06",,,,,,,,,,,,,,,,,,"0.1",,,,,,,,"0.1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0.03","-0.12",
"Costa Rica","","101.13","88.9","0.11","12.12","2",,"0.25",,"0.7","0.03",,"0.19","4.75","21.91",,,,,"-13.38","63.74","0.19","0.11","3.44",,"0.52",,,,,"5.18","0.49","0.4","0.77","-0.39","4.23",,,,"0.01",,"0.06",,,,,,,,,,,,"0.02",,"0.02",,,,,,,,,,,,,,,,,,"3.66",,"0.31",,,"0.06","0.97",,,"0.68","0.85","0.79",,,,,,,,"-0.16","-0.16",,"-0.16",,"4.4",,,,,,,,"4.4",,,,,,,,,,,,,"2",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"78.1","23.74",
"Cote d'Ivoire","","845.31","437.33","1.54","406.45","4.12","0.03","4.47","3.26","6.93","0.05","0.01","0.46","138.52","92.55","0.02",,"0.09","0.41","2.24","81.26","1.23","0.51","5.46",,"1.72",,,,,"-7.59","1.24","2.57","25.96","75.93","66.93",,,,,,"0.19",,"0.46",,,,,,"0.01",,,,"0.01",,"0.11","0.76",,"44.41","44.41","9","9.26",,"9.26",,,,,,,,,"-0.26","29.26",,"0.32","2.29",,"0.72","7.15",,,"5.11","0.52","9.57",,"0.65",,,"2.93",,,"186.09","186.09",,"186.09",,"70.76",,"2.22",,,,,"2.39","1.17","63.6",,,,,"1.38",,,,,,,"4.12",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"423.39","267.57",
"Croatia","","131.55","40.87","0.43","90.25",,"0.01","5.74","0.01",,"0.4","0.51","0.37","3.77","22.53","0.21","0.38",,,"-1.61","1.88","-2.11",,"0.22",,"3.46","0.03","0.03",,"3.43","0.44","0.08","0.07","1.05","-0.03","105.39",,,,,,"0.01",,,,,,,,,,,,,,"0.42",,,,,"-18.92",,,,,,,,,,"-18.92",,,"1.97",,"0.37",,,"0.07","0.9",,,,"0.24","0.39",,,,,,,,,,,,,"1.81",,,,,,,,,,,,,,,"1.81",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"27.59","37.59",
"Cuba","","132.45","88.03","-0.28","44.71","0.23",,"0.07","4.03","5.74","0.49","0.02","0.01","2.68","2.52","0.04",,,,"0.89","5.16","0.02","0.32","0.1",,"1.08","0.04","0.01",,,"42.81","0.06","5.17","0.39","16.38","24.9",,,,,,"0.17",,"-0.52",,,,,,,,,,,,"0.07",,,,,,,,,,,,,,,,,,"3.52",,"1.06",,,"0.1","0.64",,,"0.7",,"0.85",,,,,"0.17",,,,,,,,"16.29",,,,,,,,"4.8","11.17",,,,,"0.32",,,,,,,"0.23",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"33.76","54.48",
"Cyprus","",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Democratic People's Republic of Korea","","78.83","28","5.24","45.59",,"0.23","0.02","0.37",,"0.13",,"0.72","0.7","2.54","0.14",,,,"0.44",,,,"0.13",,"2.48","0.03",,,,,"6.01","8.22","0.41","5.43","14.77",,,,,,,,"5.18",,,,,,"0.04",,,,,,"0.02",,,,,,,,,,,,,,,,,,"11.22",,,"-1.56",,,"0.88",,,"1.14",,"2.67",,,,,"8.09",,,,,,,,"19.6",,,,,,,"1.93",,"18.67",,,,,"-1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"9.52","11.64",
"Democratic Republic of the Congo","","3483.65","2383.66","7.18","1092.81","2.85","8.21","129.64","648.8","26.52","0.51","6.21","6.47","13.47","77.11","1.14",,"0.12","8.79","9.58","80","5.67","3.27","422.16",,"28.3","0.05","0.21",,"0.04","306.2","71.48","6.47","250.78","272.46","364.26",,,,,,"0.02",,"3.48",,,,,,,,,,,,"1.27","2.4",,"18.86","18.86","193.1","193.1","103.65","89.45",,,,,,,,,,"91.4",,"0.3","3.17",,,"15.51",,,"7.27","0.47","57.67",,"5.6",,,"1.41",,,"295.26","295.26",,"295.26",,"129.93",,"-1.32",,,,,"42.35","3.2","85.7",,,,,,,,,,,,"2.85",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"729.92","1955.91",
"Djibouti","","132.03","97.63","8.03","26.37",,,,,"0.15",,"0.01",,"46.22","0.23","0.01",,,,"0.44","37.98","0.27",,,,"0.33","0.01",,,,"-0.3","0.07","0.16","0.01","12.04","9.98",,,,,,,,"4.26",,,,,,,,,,"0.02",,"0.8","2.95",,"-3.33","-3.33","8.97","3.97",,"3.97",,,,,,,,,"5","6.01",,,"0.72",,"0.29","1.15",,,"0.74","1.06","0.91",,,,,"1.14",,,"-0.18","-0.18",,"-0.18",,"4.93",,,"2.25",,,,"0.25","1.05","1.53",,,,,"-0.15",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"97.07","46.7",
"Dominica","","32.45","5.75","1.66","25.04",,"0.24",,,"0.09",,,"0.02","2.21","0.03",,,,,,"2.75","0.02",,,"0.02",,,,,,,,,"0.3","0.07","23.46",,,,,,"0.03",,"1.57",,,,,,,,,,"0.01",,"0.05",,,"-1.1","-1.1","2.85",,,,,,,,,"2.85",,,,"-0.11",,,"-0.22",,,"0.11",,,,,,,,,,,,,"-0.06","-0.06",,"-0.06",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"5.45","2.56",
"Dominican Republic","","193.81","91.71","0.03","102.07",,,"0.02","0.87","1.34","0.01","0.07","0.22","0.96","0.85","0.01",,,,"0.65","-1.91","2.74",,"0.24",,"0.26",,,,,"49.88",,"0.02","0.06","35.42","80.73",,,,,,"0.01",,,,,,,,,,,,,,,"0.02",,,,,,,,,,,,,,,,,"3.18",,"0.21","-1.33",,"0.38","1.28",,,"1.56","0.23","0.85",,,,,,,,"-0.66","-0.66",,"-0.66",,"18.83",,,,,,,,"1.53","17.44",,,,"-0.24","0.1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"37.37","53.84",
"East African Community","",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Ecuador","","168.53","126.31","0.4","41.83","0.85","0.01","0.23","11.73","1.43","0.08","0.89","0.9","0.5","27.79",,,,"0.05","-1.85","-5.23","3.83","0.31","0.49","0.36","3.05","0.07",,,,"55.32","0.17","3.07","-0.03","23.14","24.74",,,,,,"0.28",,,,,,,,,,,,"0.07",,"0.02","0.03",,,,,,,,,,,,,,,,,"5.4",,"0.47","-0.14",,"0.14","0.87",,,"1.1","1.84","0.73",,,,,"0.39",,,"-1.13","-1.13",,"-1.13",,"12.81",,,,,,,,"4.7","8.13",,,"-0.02",,,,,,,,,"0.85",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"45.75","96.65",
"Egypt","","599.16","363.17","78.45","157.55","2.51","4.22","7.36","-1.3","8.89","0.23","18.45","1.86","140.13","104.49","9.11","0.1",,"0.12","-2.15","-17.74","4.16","0.09","10.96",,"0.67","0.09","0.01",,"0.04","7.24","1.41","6.35","8.99","49.39","136.86",,,,"0.26",,"0.08",,"54.45",,,,,,"0.06",,,,"0.02",,"1.3","22.28",,,,"-7.38","-5.97",,"-5.97",,,,,,,,,"-1.41","11.55",,"0.68","-5.51",,"0.45","2.34",,,"2.64","5.98","3.84",,,,,"1.13",,,"-44.13","-44.13",,"-44.13",,"60.65",,,"33.21",,,,,"10.03","2.65",,,,,"14.76",,,,,,,"2.51",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"292","307.23",
"El Salvador","","302.42","235.51","0.14","66.77","2",,"0.44","0.81","2.01","0.04",,"0.14","3.31","17.06","0.03",,,"0.84","1.41","8.75","4.31","7.07","0.14","0.03","1.13",,"0.12",,,"85.51","1.51","1.51","-48.82","148.16","52.52",,,,,,"0.11",,,,,,,,,,,,"0.01",,"0.02",,,,,,,,,,,,,,,,,,"3.39",,"0.24","-0.66",,"0.2","0.8",,,"1.42",,"0.77",,,,,"0.62",,,"-0.84","-0.84",,"-0.84",,"11.7",,,,,,,,"2.22","9.48",,,,,,,,,,,,"2",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"131.88","69.61",
"Equatorial Guinea","","85.07","78.65","-0.24","6.66","0.01",,"0.01",,"0.05",,,,"3.14","0.05","0.01",,,,"54.65","0.32","0.02",,,,,,,,,"19.7",,"0.57",,"0.13","0.29",,,,,,"0.01",,"-0.25",,,,,,,,,,,,,,,,,"-0.96","-0.96",,"-0.96",,,,,,,,,,"1.76",,,"-0.4",,,"0.63",,,"1.06",,"0.47",,,,,,,,"-1.58","-1.58",,"-1.58",,"7.14",,,,,,,,"0.35","6.79",,,,,,,,,,,,"0.01",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"58.34","77.56",
