Recipient,"FakeColumn","Official Donors, Total","DAC Countries, Total","Non-DAC Countries, Total","Multilateral Agencies, Total","Private Donors, Total","Australia","Austria","Belgium","Canada","Czech Republic","Denmark","Finland","France","Germany","Greece","Hungary","Iceland","Ireland","Italy","Japan","Korea","Luxembourg","Netherlands","New Zealand","Norway","Poland","Portugal","Slovak Republic","Slovenia","Spain","Sweden","Switzerland","United Kingdom","United States","EU Institutions","Azerbaijan","Bulgaria","Croatia","Cyprus","Estonia","Israel","Kazakhstan","Kuwait","Latvia","Liechtenstein","Lithuania","Malta","Qatar","Romania","Russia","Saudi Arabia","Chinese Taipei","Thailand","Timor-Leste","Turkey","United Arab Emirates","Other donor countries","International Monetary Fund, Total","IMF (Concessional Trust Funds)","Regional Development Banks, Total","African Development Bank, Total","African Development Bank [AfDB]","African Development Fund [AfDF]","Asian Development Bank, Total","Asian Development Bank [AsDB]","Inter-American Development Bank, Total","Inter-American Development Bank [IDB]","Asian Infrastructure Investment Bank [AIIB]","Caribbean Development Bank [CarDB]","Council of Europe Development Bank [CEB]","European Bank for Reconstruction and Development [EBRD]","Islamic Development Bank [IsDB]","United Nations, Total","Food and Agriculture Organisation [FAO]","International Atomic Energy Agency [IAEA]","IFAD","International Labour Organisation [ILO]","UNAIDS","UNDP","UNECE","UNEP","UNFPA","UNHCR","UNICEF","UN Institute for Disarmament Research [UNIDIR]","UN Peacebuilding Fund [UNPBF]","UNRWA","UNTA","WFP","World Health Organisation [WHO]","World Tourism Organisation [UNWTO]","World Bank Group, Total","World Bank, Total","International Bank for Reconstruction and Development [IBRD]","International Development Association [IDA]","International Finance Corporation [IFC]","Other Multilateral, Total","Adaptation Fund","Arab Bank for Economic Development in Africa [BADEA]","Arab Fund (AFESD)","Center of Excellence in Finance [CEF]","Central Emergency Response Fund [CERF]","Climate Investment Funds [CIF]","Global Alliance for Vaccines and Immunization [GAVI]","Global Environment Facility [GEF]","Global Fund","Global Green Growth Institute [GGGI]","Green Climate Fund [GCF]","Montreal Protocol","Nordic Development Fund [NDF]","OPEC Fund for International Development [OPEC Fund]","OSCE","Other Multilaterals","Arcadia Fund","Arcus Foundation","BBVA Microfinance Foundation","Bernard van Leer Foundation","Bill & Melinda Gates Foundation","Carnegie Corporation of New York","Charity Projects Ltd (Comic Relief)","Children's Investment Fund Foundation","Citi Foundation","Conrad N. Hilton Foundation","David & Lucile Packard Foundation","Ford Foundation","Gatsby Charitable Foundation","Gordon and Betty Moore Foundation","Grameen Crédit Agricole Foundation","H&M Foundation","IKEA Foundation","Jacobs Foundation","John D. & Catherine T. MacArthur Foundation","La Caixa Banking Foundation","Laudes Foundation","LEGO Foundation","Margaret A. Cargill Foundation","MasterCard Foundation","MAVA Foundation","McKnight Foundation","MetLife Foundation","Michael & Susan Dell Foundation","Oak Foundation","Omidyar Network Fund, Inc.","Rockefeller Foundation","Wellcome Trust","William & Flora Hewlett Foundation","World Diabetes Foundation","Dutch Postcode Lottery","Norwegian Postcode Lottery","People's Postcode Lottery","Swedish Postcode Lottery","G7 Countries, Total","DAC-EU Countries, Total","United Postcode Lotteries, Total"
"Europe, Total",,"5177.16","2463.69","565.55","2147.93","20.03","0.51","112.11","11.1","-75.52","45.4","25.46","29.31","77.67","732.42","6.87","24.16","0.1","6.58","74.31","-32.93","-0.52","11.33","20.21","0.01","78.49","137.46","-0.03","7.5","21.51","18.17","199.65","188.08","240.62","503.68","2099.99","0.55","3.65","14.89","0.01","6.15","13.93","0.05","3.95","1.46",,"6.15","0.18","0.25","56.9","13.54","6.99",,"0.14",,"233.21","203.54",,"-81.29","-81.29","38.77",,,,,,,,,,"42.62",,"-3.85","116.56","6.45","9.12","1.5","8.21","1.05","4.67",,,"14.23","19.07","13.8",,"5.59",,,,"32.64","0.24","-163.87","-163.87",,"-163.87",,"137.78","3.16",,,"0.51","6",,"0.51","15.93","64.82",,"3.99",,,"-4.87","47.73",,,"0.18",,"0.15","0.3",,,,"0.08",,,"0.02",,,"5.37","0.1","0.1",,"0.05",,"0.07","1.46",,,"4.45",,"0.98",,"2.97","1.25",,"2.43",,,,,,"0.08","1520.24","1801.79","0.08"
"Oceania, Total",,"2242.69","1682.56","1.79","558.34","6","819.5","0.37","0","11.86",,,"0.02","129.45","11.09",,"0.01","0.01","5.16","2.66","206.15","15.93",,,"313.87","1.72","0.04",,,,"0.02","3.62","0.47","20.77","139.85","142.32",,,,,"0.06","0.06",,,,,,"0",,,,"0.05",,"0.71",,"0.26","0.64",,,,"60.52",,,,"60.32","60.32",,,,,,,"0.2","59.54","8.45","0.82","8.52","6.52","0.86","3.11",,,"2.43",,"11.72",,"3.8",,,,"13.3",,"145.06","145.06",,"145.06",,"150.89",,,,,"2.71","10.83","15.29","9.67","24.14","0.73","86.05",,,"1.48",,,,,,,"2",,"0.13",,,,"0.68","0.06",,"1",,,"0.1",,"0.26",,,,"1.72",,,,,,,,,"0.04",,,,,,,"521.83","173.2",
"Melanesia, Total",,"1136.26","850.7","0.64","284.91","1.86","619.07","0.34","0","1.33",,,"0.02","3.63","6.91",,"0.01","0.01","0.29","0.88","79.03","10.99",,,"82.95","1.15","0.03",,,,"0.01","-0.02","0.18","10.46","33.43","74.28",,,,,,"0.06",,,,,,"0",,,,"0.05",,"0.2",,"0.02","0.31",,,,"28.25",,,,"28.05","28.05",,,,,,,"0.2","42.54","1.52","0.6","8.08","1.12","0.86","2.62",,,"2.43",,"11.72",,"3.8",,,,"9.8",,"64.37","64.37",,"64.37",,"75.47",,,,,,"6.59","15.28","4.52","20.51","0.62","27.25",,,"0.69",,,,,,,"1.42",,"0.13",,,,"0.04",,,,,,,,"0.26",,,,,,,,,,,,,,,,,,,,"135.66","22.56",
"Micronesia, Total",,"294.44","229.48","0.13","64.82","0.72","46.77",,,"0.37",,,,"0.01","0.87",,,,,"1.6","60.17","2.2",,,"15.67",,,,,,,,"0.28","0.32","101.22","7.3",,,,,,,,,,,,"0",,,,,,"0.03",,,"0.1",,,,"4.31",,,,"4.31","4.31",,,,,,,,"2.52","0.53","0.22","0.15","0.45",,,,,,,,,,,,,"1.17",,"31.13","31.13",,"31.13",,"19.56",,,,,,,"0.01",,,"0.1","19.44",,,,,,,,,,,,,,,,,,,,,,,,,,,,"0.72",,,,,,,,,,,,,,,,"164.56","2.8",
"Polynesia, Total",,"448.21","324.14","0.5","123.57","1.58","58.06",,,"0.27",,,,"112.47","0.32",,,,,"0.18","56.43","1.63",,,"89.71",,"0",,,,"0.01",,,"2.54","2.51","11.63",,,,,,,,,,,,"0",,,,,,"0.48",,"0.01","0.01",,,,"16.58",,,,"16.58","16.58",,,,,,,,"5.33","1.01",,"0.3","1.2",,"0.5",,,,,,,,,,,"2.33",,"47.5","47.5",,"47.5",,"42.53",,,,,"2.71","4.13",,"5.14",,,"29.76",,,"0.79",,,,,,,"0.58",,,,,,,,,,,,,,,,,,"1",,,,,,,,,,,,,,,,"174.72","115.52",
"LDCs, Total",,"53133.66","28218.37","3146.42","21768.87","897.54","561.68","59.9","382.46","947.8","18.18","512.33","177.79","1482.53","2705.62","0.12","31.77","20.51","251.88","277.69","3446.65","721.85","175.62","603.92","113.96","731.77","15.09","55.56","1.32","0.55","112.15","1077.71","598.74","3476.33","9656.86","3989.16","0.05","0.1","0.5","0.07","1.68","2.45","0.21","63.47","0.01",,"0.23","0.36","84.23","0.65","34.6","1444.45",,"67.91",,"138.16","1307.28",,"-298.13","-298.13","2006.85","1081.39","0.84","1080.55","821.24","821.24","65.96","65.96","1.46","7.97",,,"28.82","1923.06","22.22","11.09","358.75","50.8","22.89","256.99",,,"128.25","161.96","568.86",,"96.1",,,"152.96","92.21",,"10480.85","10480.85",,"10480.85",,"3667.07","11.39",,"185.88",,"421.75","25.39","1053.68","68.92","1943.58","3.27","60.77",,"-2.15","-105.4",,,"0.02","4.34",,"0.7","452.32",,"29.88","28.33","0.8","21.93","12.41","5.52","9.39",,"22.46","4.68","35.11","0.34","6.48","2.47","5.91","18.88","18.32","118.84","2.61","2.25","0.09","0.05","4.52","0.42","20.39","32.05","10.2","8.45","7.83",,"1.34","8.21","21993.48","11418.53","17.38"
"Other LICs, Total",,"978.1","550.01","77.1","350.99","15.44","2.15","0.48","0.64","4.91","0.09",,"0.69","3.88","28.99","0.02","0.03",,"8.92","0.86","23.69","1.83",,"2.17","0.27","9.7","0.77","0.07",,,"0.35","53.06","19","126.73","260.67","57.21",,"0.01",,,,"0.18",,"-0.77",,,,"0.01",,"0.06","73.95","0.65",,"0.02",,"0.53","2.46",,,,"20.98","20.98","0.04","20.94",,,,,,,,,,"46.34","1.43","0.38","-3.57","1.62","1.3","7.33",,,"4.25","1.69","12.15",,"0.94",,,"14.92","3.9",,"30.04","30.04",,"30.04",,"196.42",,,,,"20.11",,"41.07","0.81","141.51",,"0.18",,,"-7.24",,,,"0.05",,,"6.27",,"0.91","1.01",,,,"1.92",,,,,,,,,,,,"0.26",,,,,"3.53","0.22",,"1.29",,,,,,,"449.75","227.78",
"LMICs, Total",,"42827.9","21055.01","9372.16","12400.73","1305.71","823.66","106.98","133.8","353.91","20.41","182.13","62.99","2331.1","3829.76","1.24","65.9","3.23","51.9","212.86","2901.32","758.84","53.91","144.69","76.33","421.8","123.04","27.85","6.3","4.1","220.34","378.01","430.86","1898.79","5428.98","4302.79","2","1.14","0.39","0.72","6.47","106.06","1.96","293.33","1.14",,"3.82","0.59","362.88","46.46","182.58","371.45",,"3.15",,"7321.76","666.25",,"371.55","371.55","1394.8","236.21","6.44","229.77","623.7","623.7","421.01","421.01","0.2",,"-2.22",,"115.9","1536.04","18.23","10.85","179.54","51.71","14.45","36.77",,,"76.65","50.45","263.06",,"26.33","667.21",,"74.42","66.37",,"2701.29","2701.29",,"2701.29",,"2094.26","12.61",,"135.88","0.13","61.38","27.89","642.23","48.63","1061.88","1.78","56.94",,"-12.08","20.83","36.17",,"0.01","4.12",,"4.54","682.12","1.63","5.56","59.08","7.22","5.86","24.65","46.07","9.47","1.05","12.67","6.11","76.67","7.92","40.19","0.89","10.33","10.3","4.77","114.56","1.31","0.68","3.64","24.36","11.03","16.28","14.06","62.5","14.47","5.73","14.31",,"0.32","1.23","16956.72","9856.09","15.86"
"UMICs, Total",,"11892.33","8368.53","961.68","2562.11","544.93","172.13","115.6","74.02","225.27","42.21","42.59","27.26","943.02","2842.63","6.86","44.86","0.8","23.8","87.36","-1108.89","160.13","12.22","56.65","65.15","302.53","49.83","9.53","6.02","18.19","121.97","203","277.13","885.93","2660.7","1894.41","1.11","2.9","14.72","0.72","0.49","25.4","0.02","43.21","1.11",,"3.76","0.27","4.69","14.73","374.05","94.06","1.56","1.94",,"169.04","207.88",,"172.94","172.94","238.89","-3.09","2.98","-6.07","36.69","36.69","9.88","9.88",,"157.82","43.69",,"-6.1","448.93","11.65","14.54","-19.2","43.6","11.88","18.45",,,"41.4","59.53","81.42",,"16.14","97.81",,"28.63","43.09",,"-630.77","-630.77",,"-630.77",,"437.72","18.15",,"4.28","0.32","28.44","9.01","0.42","92.15","185.53","1.15","108.48",,"-2.41","-37.87","30.06",,"15.1","1.59","143.1","4.82","56.76","0.53","4.08","26.06","6.98","0.33","28.32","53.01",,"25.78","8.55","3.08","7","0.34","33.03","0.82","9.38","8.17","1.38","10.19","4.7","0.75","7.18","10.75","24.98","6.45","1.03","7.41","19.61","2.5","8.95",,"0.64","1.59","6536.02","5613.57","11.18"
"MADCTs, Total",,"28.59","28.55",,"0.04",,"3.18",,,,,,,,"0",,,,,,"0.46","0.02",,,"24.89",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"-2.01",,,,"-2.01","-2.01",,,,,,,,"0.52",,,,"0.25",,"0.02",,,,,,,,,,,"0.25",,,,,,,"1.54",,,,,,,,"0.8",,,"0.74",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0.46","0",
"Part I Unallocated by income",,"54643.78","45110.67","1709.84","7823.27","3826.78","665.35","160.88","545.49","1508.34","14.96","1020.48","332.89","2683.41","9098.78","134.43","16","26.81","231.73","744","2214.19","268.32","120.18","2617.61","174.77","1849.52","19.06","24.61","7.88","8.23","347.48","1756.59","1030.54","6681.23","10806.91","4670.02","3.26","4.67","4.74","4.89","8.21","105.23","24.54","1.75","2.2","19.23","4.19","30.96","74.31","2.65","27.7","104.94","252.13","0.35",,"839.55","194.33",,,,"447.6","314.89","2.87","312.02","79.35","79.35","33.92","33.92",,"14.69",,,"4.74","1926.37","401.51","37.01","-0.48","132.73","82.02","51.36",,,"166.1","395.41","85.46","184.05","7.43",,,"33.46","342","8.31","88.97","88.97",,"88.97",,"690.32","21.71",,"6.96","0.67","6","4.34","326.26","63.65","171.43","2.1","30.08",,"13.16","10.71","33.25",,"39.92","5",,"4.21","2350.73","21.81","5.59","138.95","11.92","14.13","54.42","87.48",,"21.36","-32.9","2.67","71.89","8.76","29.17","36.92","19.95","7.15","19.7","54.42","31.13","5.07","3.13",,"92.2","35.58","75.03","223.68","79.06",,"206.84","2.03","55","44.75","33736.87","26565.92","308.62"
"WorldBank Low income countries",,"47505.01","21597.01","10294.26","15613.75","621.21","137.46","63.26","347.19","778.24","13.82","502.48","140.13","839.7","2986.09","0.12","22.85","22.14","217.09","234.01","969.46","300.7","114.8","530.39","15.27","731.45","4.94","53.39","1.39","1","133.78","907.17","441.99","2923.21","8163.49","3497.72","0.05","0.28","0.74","0.07","2.08","2.19","1.94","41.25","0.04",,"0.19","0.45","102.22","1.1","147.22","1388.19",,"1.2",,"7312.9","1292.13",,"-56.48","-56.48","1230.54","878.95","0.24","878.71","273.18","273.18","65.96","65.96",,"7.97",,,"4.48","1562.56","13.93","7.94","268.01","26.84","15.32","203.19",,,"93.61","138.64","456.9",,"90.49","60.13",,"130.51","57.05",,"6740.39","6740.39",,"6740.39",,"2639.02","8.17",,"59.07",,"372.49","4.06","763.93","41.85","1423.88","1.51","33.79",,"0.78","-77.14","6.61",,"0.01","3.61",,"0.7","308.74","0.98","20.07","24.58","0.32","16.84","10.3","2.68","1.38",,"8.55","3.42","25.36","0.34","6.38","2.45",,"12.32","7.82","93.82","1.45","1.68",,"0.05","3.81","0.22","13.48","28.92","5.43","1.75","6.5",,"1.08","6.21","16894.2","10036.8","13.79"
"WorldBank Lower-middle income countries",,"45888.18","25742.33","1995.09","18150.76","1512.99","1044.09","71.66","171.13","432.41","16.96","180.13","95.31","2992.82","2878.82","1.11","63.71","1.16","90.05","237.17","6178.46","1114.09","106.56","199.71","136.69","344.08","128.28","30.05","5.3","2.13","155.17","530.86","540.27","2359.73","5634.42","4327.29","2","0.54","0.08",,"4.78","65.71","0.23","308.79","0.67",,"2.96","0.5","344.44","45.37","127.87","365.19",,"69.26",,"131.96","524.73",,"-181.57","-181.57","2304.03","460.38","7.83","452.55","1272.83","1272.83","426.81","426.81","1.66",,"-1.07",,"143.44","1719.17","25.59","13.35","271.9","69.03","22.16","94.77",,,"107.4","73.94","375.78",,"27.54","437.28",,"101.77","98.67",,"6780.62","6780.62",,"6780.62",,"3201.21","14.84",,"295.22","0.06","128.75","46.14","954.32","67.52","1633.91","3.25","74.19",,"-14.21","-16.36","13.57",,"0.01","2.47",,"3.88","816.69","0.45","16.28","63.15","6.51","10.96","10.77","37.56","17.48","1.05","21.25","6.56","76.85","7.92","35.69","0.91","14.6","14.84","12.42","139.84","1.9","1.25","3.73","24.36","15.26","16.57","20.92","65.99","18.5","7.17","15.43",,"0.57","3.24","20713.82","10316.66","19.24"
"WorldBank Upper-middle income countries",,"15001.59","10533.02","1244.21","3224.36","628.69","354.74","148.01","72.58","320.22","50.07","54.45","30.66","798.3","3539.27","7.01","56","1.24","29.37","106.43","-1908.93","227.49","20.39","77.31","66.39","390.26","55.49","9.55","6.96","19.72","167.76","273.72","342.79","1018.03","4197.74","2393.47","1.11","3.33","14.79","1.44","1.78","65.92","0.02","50.63","1.55",,"4.66","0.27","5.14","15.42","390.11","137.59","1.56","2.46",,"184.55","361.89",,"484.42","484.42","111.51","-4.33","1.59","-5.91","-70","-70","3.08","3.08",,"149.51","42.54",,"-9.3","662.29","12.84","14.85","-23.85","50.13","13.05","20.77",,,"48.74","61.05","91.62",,"21.48","267.61",,"35.77","48.24",,"-939","-939",,"-939",,"511.67","9.23",,"-28.26","0.39","30.43","12.09","19.14","98.85","273.12","1.44","93.63",,"-3.01","-41.42","46.04",,"15.11","4.03","143.06","5.48","72.05","0.73","4.08","26.75","8.11","0.33","43.78","66.18",,"25.78","13.87","3.9","16.58","0.34","37.64","0.82","11.02","10.19","4.22","10.19","5.27","0.75","7.18","10.75","24.98","6.58","1.08","8.35","20.36","7.76","9.17",,"0.64","1.59","8071.05","6541.07","11.4"
"WorldBank High income countries",,"199.36","88.31","23.81","87.24","0.72","20.57","0.05","0.03","1.01","0.04",,"2.62","17.29","2.81",,"0",,,"1.17","23.51","0.35",,"0.02","3.4",,"0.01","0.01",,,"-1.89","0.02","0.68","5.05","11.56","19.07","0",,"0",,,"0.26",,"-1.43",,,,,,"0.01",,"19.65",,"0.11",,"0.08","5.13",,,,"15.42","0.5","0.65","-0.16","5.62","5.62","1","1",,"8.3",,,,"9.85","0.91","0.72","-0.54","1.74",,"0.71",,,"0.81",,"1.18",,,,,"2.88","1.44",,"-0.61","-0.61",,"-0.61",,"43.51","9.91",,,,,,,"2.23","1.58",,"24.75",,"-0.2","5.23",,,,,"0.04",,,,,,"0.07",,"0.53","0.09",,,,,,,,,,,,,,,,,,,,,,,,,,,"62.41","27.23",
"Countries not classified by the World Bank",,"266.43","259.79",,"6.64",,"5.95",,,"0.02",,,,"112.44","0.01",,,,,,"0.72","0.04",,,"58.86",,,,,,,,,"81.76",,"6.03",,,,,,,,,,,,,,,,,,,,,,,,,"-2.01",,,,"-2.01","-2.01",,,,,,,,"1.02","0.25",,,"0.25",,"0.13",,,,,,,,,,,"0.39",,,,,,,"1.6",,,,,,,,"0.86",,,"0.74",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"194.94","194.21",
"HIPCs, Total",,"42289.94","21803.54","1584.35","18902.05","877.04","96.71","56.19","381.06","830.47","14.1","421.01","131.79","2111.82","2349.09","0.21","13.69","19.28","230.15","259.71","1132.21","497.61","141.91","503.78","8.84","614.43","16.62","63.26","0.78","0.45","170.28","915.4","486.94","2370.11","7965.64","3566.23","0.03","0.04","0.5","0.01","1.51","2.85","0.21","36.01",,,"0.17","0.38","78.59","0.61","34.21","438.54",,"1.56",,"110.73","878.42",,"-49.3","-49.3","1910.44","1170.52","0.85","1169.67","194.74","194.74","530.59","530.59",,"20.96",,,"-6.37","1665.65","19.84","10.12","316.83","45.05","21.88","225.87",,,"110.79","120.11","521.53",,"85.88",,,"127.31","60.46",,"8403.68","8403.68",,"8403.68",,"3405.34","11.19",,"168.27",,"346.15","20.2","906.47","67.61","1960.05","1.62","33.44",,"-6.21","-103.45",,,"0.01","4.95",,"1.39","421.36",,"26.42","26.52","1.57","24.72","10.52","7.76","9.39","1.05","13.22","3.16","27.22","7.7","6.5","2.48",,"13.7","7.82","162.27","2.61","1.99",,"0.05","3.76","0.44","17.75","31.19","12.43","7.9","10.6",,"1.21","7.38","17019.05","10151.42","19.2"
"Land-Locked countries, Total",,"29506.09","15677.38","857.48","12971.24","569.93","134.75","65.14","201.34","467.9","20.62","289.57","95.43","950.37","1685.54","0.27","43.41","16.51","144.29","126.29","1336.03","447.5","134.43","391.01","17.47","442.56","19.31","3.23","2.44","5.71","73.52","628.19","431.99","1800.21","5702.33","2640.48","2.03","1.19","0.52","0.01","3.07","4.33","2.13","-1.99","0.39",,"0.74","0.19","6.75","43.4","150.4","130.95",,"32",,"134.88","346.48",,"174.9","174.9","1746.16","548.68","1.3","547.38","928.66","928.66","266.79","266.79","1.46",,"5.02",,"-4.44","1078.09","14.35","11","239.73","34.64","14.62","125.08",,,"68.99","101.53","286.02",,"55.58",,,"75.2","51.35",,"5387.79","5387.79",,"5387.79",,"1943.82","13.31",,,"0.06","178.74","28.69","523.08","48.08","1158.31","2.45","40.76",,"-2.93","-73.23","26.48",,"0.01","1.4",,"0.7","268.27",,"16.05","24.33","0.39","17.03","7.41","5.48",,"1.05","11.13","2.56","25.36","0.45","4.08","0.02",,"9.71","12.2","93.28",,"2.06",,"0.05","7.06","0.43","12.07","26.06","5.7","1.96","6.23",,"1.21","6.21","12068.68","6680.32","13.65"
"Small island states, Total",,"4321.75","2362.82","475.17","1483.76","26.96","779.37","0.64","18.07","80.15","0.4","3.43","2.89","89.7","43.43","0","0.21","0.01","2.41","23.03","333.57","38.24","17.94","4.82","184.13","53.18","0.17","67.15","0.14","0.01","20.19","4.36","37.17","71.85","486.16","352.15","0",,"0",,,"0.31",,"7.8",,,"0","0.02","0.1","0.04","358.26","59.34","1.56","1.23",,"1.46","45.04",,"-9.87","-9.87","331.67","19.87","1.5","18.37","72.67","72.67","72.94","72.94",,"165.79",,,"0.4","142.56","7.76","3.96","10.36","10.57","3.97","19.74",,,"14.14","3.23","35.33",,"5.5",,,"1.16","26.83",,"419.17","419.17",,"419.17",,"248.08","12.15",,"0.28",,"18.85","15.44","32.12","27.35","89.67","0.66","86.39",,"-1.72","-33.12",,,,"0.12","9.14",,"7.92",,"0.45",,"0.35",,"0.08","1.59",,,,"0.53",,,"0.26","0.06",,,"1.42",,"1.64",,,,"2.74",,"0.65","0.01",,,,,,,"1127.89","370.84",
"Fragile states, Total",,"76486.31","37676.63","11307.37","27502.32","1394.82","937.11","107.37","384","1215.29","24.7","687.54","201.17","2384.2","4671.11","0.52","57.77","14.45","272.23","387.09","3738.26","910.89","167.29","618.68","100.05","954.64","32.33","34.08","4.58","1.2","296.05","1383.12","743.13","4740.61","12607.15","5521.09","0.61","0.31","0.74","0.07","2.64","31.39","1.94","146.39","0.04",,"0.46","0.75","420.84","2.27","160.53","1504.97",,"65.91",,"7432.64","1534.87",,"-71.57","-71.57","2611.26","1150.24","2.5","1147.74","1056.4","1056.4","259.2","259.2","1.04","7.97",,,"136.4","2775.28","29.47","15.16","391.38","63.04","32.11","250.25",,,"165.77","183.87","699.13",,"110.59","497.41",,"218.51","118.59",,"12101.39","12101.39",,"12101.39",,"4564.87","11.96",,"182.26",,"492.76","26.06","1436.48","71.94","2372.78","1.65","45.34",,"-6.24","-76.72","6.61",,"0.02","5.67",,"1.39","774.17","1.25","28.47","46.27","5.65","22.26","11.29","24.87","18.85",,"22.57","5.55","48.58","7.73","55.19","2.48","8.35","22.8","13.31","159.96","2.27","2.34","0.09","0.05","8.39","2.95","26.7","22.28","11.8","8.69","14.68",,"1.34","6.53","29743.71","16455.65","22.55"
"Afghanistan",,"4139.62","3021.06","52.89","1065.66","7.78","60.88","3.37","2.25","117.07","1.52","73.32","26.04","10.56","409.23",,"0.04","0.57","1.86","38.46","131.44","26.07","1.25","67.1","1.99","79.49","0.8","1.65","0.35","0.07","0.79","132.93","31.35","372.43","1428.21","415.51",,"0.04","0.5",,"1.31","0.02","0.21",,,,,"0","1","0.14","2",,,"0.01",,"32.94","4.82",,"-67.21","-67.21","192.28",,,,"194.74","194.74",,,,,,,"-2.46","75.12","0.48","0.11","15.35","1.54",,"7.35",,,"5.1",,"36.3",,,,,"5.07","3.82",,"363.45","363.45",,"363.45",,"86.52",,,,,"16",,"48.78","1.1","20.19",,"0.24",,,"0.21",,,"0.01",,,,"4.85",,,,,,,,,,,,"0.3","0.11",,,,,,,,,,,,,,,,,,,,"2.51","2507.4","1143.99","2.51"
"Albania",,"26.73","141.37","23.97","-138.61","0.73","0.04","10.44","0.03","0.08","0.15","0.75","0.08","5.45","36.88","1.66","0.72",,"0.36","19.1","-1.13","-0.86","0.19","0.11",,"1.36","0.29",,"0.51","0.32","0.17","13.51","30.61","3.52","17.04","71.98","0.55","0.57","0.17","0.01","0","0.18",,"8.06","0.21",,"0.07","0","0.03","1.56",,,,"0.01",,"9.25","0.79",,"-153.74","-153.74","-16.12",,,,,,,,,,"-10.83",,"-5.28","2.06","0.36","0.16","-1.54","0.44",,"0.54",,,"0.78",,"0.94",,,,,,"0.38",,"-46.14","-46.14",,"-46.14",,"3.35",,,,"0.06",,,,"0.81","3.11",,"0.15",,,"-3.46","2.67",,,,,,,,,,,,,,,,,,,,,,,,,,"0.73",,,,,,,,,,,,,,"80.94","94.23",
"Algeria",,"171.96","115.03","-8.95","65.88","0.12","0.06","0.3","8.57","-0.74","0.01",,"0.15","90.66","13.98",,"1.42",,"0.03","-1.51","-0.28","3.29","0.17","0.81","0.03","1.14","0.13","0.19",,,"-19.86","1.63","2.2","10.63","2.05","52",,,,,,"0.03",,,,,,"0","0.2","0.06",,,,"0.02",,"1.87","-2.51",,,,"0.85","0.74","0.74",,,,,,,,,,"0.11","10.03","0.28","0.29",,"0.39","0.21","0.35",,,"0.7","2.72","1.86",,,,,"2.24","0.99",,,,,,,"2.99",,,,,,,,"0.5","2.49",,,,,,,,,,,,,,,,,,,"0.12",,,,,,,,,,,,,,,,,,,,,,,,,,,"114.79","107.29",
"Angola",,"21.54","51.53","0.73","-30.72","0.3","0.02","0.01",,"0.02","0.02",,,"17.01","4.25",,"0.44",,"0.48","1.92","8.71","-6.01","0.06","0.35",,"5.36","-2.12","-22.05",,,"-3.96","0.79","0.05","1.41","44.78","40.15",,,,,,,,,,,,,,"0.11","0.23",,,,,"0.12",,,"-113.68","-113.68","5.29","5.29",,"5.29",,,,,,,,,,"19.67","0.31","0.31","0.82","0.29","1.14","1.9",,,"3.28","3.35","5.62",,,,,"0.48","2.17",,"-15.97","-15.97",,"-15.97",,"33.82",,,,,"6.34",,"8.56","0.09","18.41",,,,,"0.42",,,,"0.02",,,"0.24",,,,,,,"0.02",,,,,,,,,,,,,,,,,,,"0.02",,,,,,,,"78.09","-1.4",
"Anguilla",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Antigua and Barbuda",,"27.44","2.85","3.63","20.96",,"0.02",,,"0.04",,,,"0.02",,,"0",,,"0.5","1.93",,,,"0.01",,,,,,,,,"0.32",,"4.43","0",,,,,"0.01",,"-1.43",,,,,,,,,,,,,"5.05",,,,"8.3",,,,,,,,,"8.3",,,,"0.71","0.06","0.1",,"0.44",,,,,,,,,,,,,"0.11",,,,,,,"7.53","5.72",,,,,,,"0.24",,,"1.57",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2.82","0.85",
"Argentina",,"8.81","-93.61","12.34","90.08","18.25","0.14","0.33",,"0.96","0.02","0.1","0.08","-17.04","9.35","0","0.13",,"0","-77.87","-11.62","0.36","0.18","0.18","0.09",,"0.04","0.12","0",,"-6.48","0","0.58","5.63","1.1","7.8",,,,,,"4.18",,"7.94",,,"0.01",,,"0.01",,,,"0.07",,"0.04","0.07",,"76.48","76.48","-2.54",,,,,,"-2.54","-2.54",,,,,,"6.13","0.08","0.67",,"2.43","0.67","0.4",,,"0.26",,"0.96",,,,,,"0.65",,,,,,,"2.21","1.94",,,,,,,"1.07",,,"4.14",,,"-4.93",,,"15.1",,,,"0.38",,,,"0.48",,"0.14","0.14",,,,,,"0.22",,,,,,,,,"0",,,"0.68",,"0.01",,"1.1",,,,,"-89.5","-85.21",
