Recipient,"FakeColumn","Official Donors, Total","DAC Countries, Total","Non-DAC Countries, Total","Multilateral Agencies, Total","Private Donors, Total","Australia","Austria","Belgium","Canada","Czech Republic","Denmark","Finland","France","Germany","Greece","Hungary","Iceland","Ireland","Italy","Japan","Korea","Luxembourg","Netherlands","New Zealand","Norway","Poland","Portugal","Slovak Republic","Slovenia","Spain","Sweden","Switzerland","United Kingdom","United States","EU Institutions","Azerbaijan","Bulgaria","Croatia","Cyprus","Estonia","Israel","Kazakhstan","Kuwait","Latvia","Liechtenstein","Lithuania","Malta","Qatar","Romania","Russia","Saudi Arabia","Chinese Taipei","Thailand","Timor-Leste","Turkey","United Arab Emirates","Other donor countries","International Monetary Fund, Total","IMF (Concessional Trust Funds)","Regional Development Banks, Total","African Development Bank, Total","African Development Bank [AfDB]","African Development Fund [AfDF]","Asian Development Bank, Total","Asian Development Bank [AsDB]","Inter-American Development Bank, Total","Inter-American Development Bank [IDB]","Asian Infrastructure Investment Bank [AIIB]","Caribbean Development Bank [CarDB]","Council of Europe Development Bank [CEB]","European Bank for Reconstruction and Development [EBRD]","Islamic Development Bank [IsDB]","United Nations, Total","Food and Agriculture Organisation [FAO]","International Atomic Energy Agency [IAEA]","IFAD","International Labour Organisation [ILO]","UNAIDS","UNDP","UNECE","UNEP","UNFPA","UNHCR","UNICEF","UN Institute for Disarmament Research [UNIDIR]","UN Peacebuilding Fund [UNPBF]","UNRWA","UNTA","WFP","World Health Organisation [WHO]","World Tourism Organisation [UNWTO]","World Bank Group, Total","World Bank, Total","International Bank for Reconstruction and Development [IBRD]","International Development Association [IDA]","International Finance Corporation [IFC]","Other Multilateral, Total","Adaptation Fund","Arab Bank for Economic Development in Africa [BADEA]","Arab Fund (AFESD)","Center of Excellence in Finance [CEF]","Central Emergency Response Fund [CERF]","Climate Investment Funds [CIF]","Global Alliance for Vaccines and Immunization [GAVI]","Global Environment Facility [GEF]","Global Fund","Global Green Growth Institute [GGGI]","Green Climate Fund [GCF]","Montreal Protocol","Nordic Development Fund [NDF]","OPEC Fund for International Development [OPEC Fund]","OSCE","Other Multilaterals","Arcadia Fund","Arcus Foundation","BBVA Microfinance Foundation","Bernard van Leer Foundation","Bill & Melinda Gates Foundation","Carnegie Corporation of New York","Charity Projects Ltd (Comic Relief)","Children's Investment Fund Foundation","Citi Foundation","Conrad N. Hilton Foundation","David & Lucile Packard Foundation","Ford Foundation","Gatsby Charitable Foundation","Gordon and Betty Moore Foundation","Grameen Crédit Agricole Foundation","H&M Foundation","IKEA Foundation","Jacobs Foundation","John D. & Catherine T. MacArthur Foundation","La Caixa Banking Foundation","Laudes Foundation","LEGO Foundation","Margaret A. Cargill Foundation","MasterCard Foundation","MAVA Foundation","McKnight Foundation","MetLife Foundation","Michael & Susan Dell Foundation","Oak Foundation","Omidyar Network Fund, Inc.","Rockefeller Foundation","Wellcome Trust","William & Flora Hewlett Foundation","World Diabetes Foundation","Dutch Postcode Lottery","Norwegian Postcode Lottery","People's Postcode Lottery","Swedish Postcode Lottery","G7 Countries, Total","DAC-EU Countries, Total","United Postcode Lotteries, Total"
"LMICs, Total","","33269.02","19604.52","1191.72","12472.79","493.43","1458.76","94.51","189.46","563","22.96","414.66","136.91","2311.2","2256.17","31.25","5.64","1.64","60.62","159.11","1908.15","402.27","76.52","381.67","80.1","419.71","27.9","148.85","2.9","1.72","497.38","418.25","413.54","1605.35","5514.32","3980.81",,,,"0.45","1.89","72.92",,"101.72","0.38",,"1.38",,,"21.99","104.28",,,"1.77",,"542.11","342.83",,"517.69","517.69","581.76","510.33","5.3","505.03",,,,,,,"1.42",,"70.01","1356.58",,"12.59","167.9",,"19.73","115.18",,,"97.04","29.01","208.77",,"4.93","531.32",,"124.82","45.29",,"4586.45","4586.45",,"4586.45",,"1449.5","6.38","1.39","126.45",,,,"215.4","146.48","826.05",,,"2.67","13.49","55.95","55.24",,,,,,"493.43",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14317.3","8843.03",
"UMICs, Total","","16723.21","10628.75","425.9","5668.56","68.92","298.49","122.16","74.11","116.13","13.99","48.27","44.62","1967.26","1689.31","77.4","11.01","0.69","17.73","112.01","296.9","94.93","21.73","135.27","53.7","317.18","45.96","15.34","3.14","7.69","300.41","245.83","166.44","378.84","3952.21","5952.13",,,,"0.56","0.49","15.65",,"-8.9","0.19",,"0.94",,,"4.6","24.49",,,"0.91",,"234.74","152.23",,"-26.51","-26.51","152.46","-1.41","3.34","-4.75",,,,,,"27.09","130.04",,"-3.26","375.65",,"12.57","34.59",,"18.12","33.72","0.1",,"34.71","74.95","47.37",,"0","76.62",,"16.26","26.64",,"-1446.02","-1446.02",,"-1446.02",,"660.84","21.56","-3.24","2.35",,,,"1.85","190.34","369.58",,,"5.37","-1.43","22.9","51.56",,,,,,"68.92",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"8512.66","5332.08",
"MADCTs, Total","","242.83","87.87","5.92","149.04","0.02","8.33","0.23","0.47","2.38","0","-0.29","0.35","12.03","28.03","0.26","0.13",,"0.03","0.53","6.77","0.63","0.72","0.13","16.26","-11.87","0.01","0.18",,,"15.46","0.27","0.97","1.11","4.75","129.57",,,,,,"1.25",,"-1.36",,,,,,,,,,"0.04",,"0.11","5.88",,,,"-2.45","-0.66","0.09","-0.75",,,,,,"-1.79",,,,"6.37",,"0.44",,,"0.31","2.44",,,"0.99",,"1.45",,,,,,"0.74",,"-0.41","-0.41",,"-0.41",,"15.96","5.04","2.4",,,,,,"8.52",,,,,,,,,,,,,"0.02",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"55.6","59.65",
"Part I Unallocated by income","","43832.03","33222.45","5531.5","5078.08","1501.71","1370.86","178.67","750.06","2020.59","18.38","828.19","378.05","2045.73","2764.82","39.47","8.77","7.84","129.79","647.73","2405.13","144.46","70.33","2988.24","97.82","1741.15","4.61","26.72","13.38","8.09","926.84","1736.82","1236.59","3066.11","7567.21","2931.01",,"0.43",,"15.75","3.13","94.27",,"0.89","0.55","25.81","3.82","13.3",,"0.86","69.83","4773.29","331.84","0.96",,"169.02","27.75",,,,"307.35","274.19","1.36","272.83",,,,,,"5.32",,,"27.84","1290.99",,"35.77",,,"198.79","79.74","12.39",,"46.75","243.13","349.09",,,,,"14.28","311.05",,"73.19","73.19",,"73.19",,"475.54",,"2","6.99",,,,"138.96","233.14","16.18",,,,"19.91","14.38","43.98",,,,,,"1501.71",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"20517.32","16630.8",
"WorldBank Low income countries","","32637.38","22318.27","615.52","9703.59","206.66","347.05","81.71","617.56","872","16.49","495.29","151.72","1716.44","1551.82","7.52","7.27","9.89","273.23","751.14","1678.32","87.54","72.58","578.25","9.62","725.84","11.05","235.83","2.01","1.12","332.68","942.89","356.49","2530.32","7854.6","2880.72",,,,"0.86","1.73","2.26",,"-7.83","0.15",,"14.38",,,"1.12","37.17",,,"0.47",,"421.87","143.34",,"251.65","251.65","1251.13","1157.98","111.26","1046.72",,,,,,,,,"93.15","1083.58",,"4.92","109.71",,"15.94","170.61",,,"84.78","61.43","360.85",,"48.4","50.9",,"138.67","37.37",,"2765.7","2765.7",,"2765.7",,"1470.81","6.22","34.12","119.17",,,,"368.11","54.36","855.16",,,,"5.4","28.27",,,,,,,"206.66",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"16954.64","10376.92",
"WorldBank Lower-middle income countries","","43072.37","27223.95","823.02","15025.4","617.31","2301.65","87.2","298.75","1082.84","20.84","751.03","253.7","2796.26","2556.51","22.82","6","1.64","180.72","183.64","2868.99","630.16","106.48","607.53","142.08","739.9","19.66","198.55","2.12","0.73","652.05","633.98","522.58","2479","7076.54","4316.88",,"6.4",,"0.81","0.66","39.97",,"146.47","0.05",,"0.54",,,"3.27","102.91",,,"11.72",,"375.11","135.11",,"450.74","450.74","978.93","841.91","9.24","832.67",,,,,,"10.52",,,"126.5","1603.87",,"14.59","233.12",,"31.75","198.4",,,"144.55","49.91","328.66",,"13.45","346.19",,"166.57","76.68",,"5528.12","5528.12",,"5528.12",,"2146.87","14.96","11.49","180.63",,,,"309.21","176.77","1327.66",,,"2.38","28.09","74.42","21.26",,,,,,"617.31",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"19043.78","11857.57",
"WorldBank Upper-middle income countries","","19237.12","11583.64","728.13","6925.35","70.51","239","141.97","72.17","132.98","21.2","70.1","54.98","1794.31","1826.81","83.68","10.98","0.69","19.9","118.03","219.23","126.29","29.57","162.11","27.95","366.43","55.33","15.76","3.92","9.05","354.01","337.2","253.97","272.49","4763.53","6761.56",,,,"0.63","1.75","50.24",,"6.25","0.52",,"1.79",,,"23.26","30.49",,,"0.94",,"259.93","352.32",,"70.02","70.02","149.89","-1.48","3.27","-4.75",,,,,,"25.01","131.47",,"-5.11","531.53",,"14.33","39.3",,"18.27","37.89","0.1",,"35.51","83.92","47.82",,"0","210.85",,"17.39","26.15",,"-1316.84","-1316.84",,"-1316.84",,"729.19","20.89","-3.24","-5.61",,,,"3.15","189.03","412.58",,,"5.66","-1.43","22.62","85.54",,,,,,"70.51",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"9127.38","5453.57",
"WorldBank High income countries","","295.37","139.25","5.99","150.13","0.02","39.11","0.23","0.47","2.39","0","-0.29","0.36","12.15","28.3","0.32","0.13",,"0.03","0.59","21.94","0.69","0.72","0.13","2.72","-11.87","0.01","0.18",,"0.01","15.67","0.27","0.97","0.72","23.3","132.06",,,,,,"1.3",,"-1.36",,,,,,,,,,"0.03",,"0.11","5.91",,,,"-2.66","-0.66","0.09","-0.75",,,,,,"-2",,,,"6.21",,"0.44",,,"0.31","2.39",,,"0.99",,"1.45",,,,,,"0.63",,"-0.41","-0.41",,"-0.41",,"14.93","3.08","2.4",,,,,,"9.45",,,,,,,,,,,,,"0.02",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"89.39","60",
"Countries not classified by the World Bank","","375.51","339.34","0.36","35.81","0.33","11.06","0.3","0.18","0.39","0.01",,"0.5","129.8","7.96","0.09",,,,"1.26","4.17","0.38",,,"49.38","0.15","0.02","0.09",,,"0.46",,"0.01","124.9","8.23","23.12",,,,,,"0.15",,,,,,,,"0.01",,,,"0.02",,"0.17","0.01",,,,"-0.18",,,,,,,,,"-0.18",,,,"7.16",,"0.18",,,"0.41","0.6",,,"1.22","2.95","1.42",,,,,,"0.38",,,,,,,"5.71","1.96",,,,,,,"3.75",,,,,,,,,,,,,"0.33",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"276.71","265.57",
"HIPCs, Total","","44151.82","29346.09","491.51","14314.22","324.12","360.61","100.35","755.51","1407.67","17.66","813.48","253.62","2875.62","2028.55","5.35","7.27","10.65","355.45","808.08","2146.34","137.95","104.13","846.72","13.01","958.58","12.49","265.91","1.29","1.5","640.76","1134.55","477.71","2795.58","10009.7","3873.83",,"6.4",,"0.87","1.66","4.01",,"40.18","0.15",,"14.38",,,"1.11","89.55",,,"0.56",,"264.16","68.48",,"795.7","795.7","1925.87","1790.95","115.29","1675.66",,,,,,"12.63",,,"122.29","1248.08",,"7.81","158.09",,"25.22","204.65",,,"116.96","73.43","427.73",,"53.16",,,"136.74","44.29",,"4387.35","4387.35",,"4387.35",,"2083.39","9","43.58","152.71",,,,"449.41","91.17","1298.63",,,,"17.26","21.62",,,,,,,"324.12",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"22071.54","13823.87",
"Land-Locked countries, Total","","25386.92","16495.44","588.52","8302.96","215.98","372.47","56.57","285.97","666.6","27.06","482.34","141.71","411.08","1387.58","7.76","7.89","7.17","219.28","118.34","1704.69","198.19","85.31","507.69","14.42","619.74","16.19","2.97","2.49","2.95","237.35","491.34","353.67","1777.26","6289.36","2475.13",,"6.4",,"1.09","1.86","6.12",,"26","0.22",,"14.85",,,"19.3","29.74",,,"18.6",,"340.15","124.19",,"229.6","229.6","811.9","760.36","8.69","751.67",,,,,,,"1.42",,"50.12","773.29",,"9.36","99.68",,"18.78","142.13",,,"70.52","37.23","253.69",,"25.45",,,"81.62","34.83",,"2674.09","2674.09",,"2674.09",,"1338.95","4.57","18.57",,,,,"246.97","58.47","938.37",,,,"10.09","21.12","40.79",,,,,,"215.98",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"12354.91","6269.13",
"Small island states, Total","","4997.21","3890.33","14.09","1092.79","5.35","1147.81","2.1","24.81","268.15","1.07","9.08","10.76","322.41","45.9","0.22","0.11",,"9.17","8.8","257.06","15.81","18.46","63.48","149.55","75.85","0.63","217.96",,"0.48","194.96","24.15","23.6","87.63","910.32","587.04",,,,"0.05",,"1.11",,"-2.44",,,,,,"0.19","3",,,"0.5",,"1.38","10.31",,"32.16","32.16","54.72","13.17","0.51","12.66",,,,,,"33.35",,,"8.2","98.3",,"2.28","6.71",,"5.2","25.79",,,"13.82","2.52","16.47",,"5.59",,,"5.34","14.58",,"138.22","138.22",,"138.22",,"182.35","21.94","-0.1",,,,,"2.01","26.18","117.57",,,,"-1.04","15.8",,,,,,,"5.35",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1900.27","1042.18",
"Fragile states, Total","","58273.68","40063.05","1292.44","16918.19","536.48","1639.79","126.84","676.15","1633.68","26.47","936.09","334.94","2956.63","2693.86","18.92","8.74","9.33","398.25","865.63","3471.12","357.16","115.97","922.79","74.43","1215.12","13.92","228.54","3.52","1.78","733.48","1466.76","621.64","4031.09","14480.41","4959.2",,"6.4",,"1.22","2.18","31.31",,"13.17","0.15",,"14.52",,,"2.62","130.29",,,"9.72",,"773.83","307.03",,"552.39","552.39","1796.98","1620.38","114.26","1506.12",,,,,,"8.05",,,"168.55","2136.36",,"12.35","198.96",,"35.39","278.91",,,"166.3","78.11","561.49",,"53.4","397.09",,"278.96","75.4",,"5072.42","5072.42",,"5072.42",,"2400.84","14.12","32.8","181.12",,,,"547.89","104.13","1434.16",,,,"19.53","59.74","7.35",,,,,,"536.48",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"30132.42","16560.37",
"Afghanistan","","6745.74","5937.45","190.37","617.92","22.82","159.39","1.03","16.86","225.15","11.36","90.15","31.05","65.73","539.3","0.77","6.86","1.31","9.1","55.27","751.43","27.99","3.47","108.48","5.93","138.68","9.43","2.1","1.26","0.62","57.62","114.98","23.76","423.42","3054.95","363.47",,,,,"1.37",,,,"0.15",,"14.38",,,"0.38","4.91",,,"0.13",,"130.89","38.16",,"18.95","18.95",,,,,,,,,,,,,,"67.33",,"0.54","3.98",,,"14.67",,,"6.31",,"38.45",,,,,"1.32","2.06",,"152.37","152.37",,"152.37",,"15.8",,,,,,,"11.92","1.21","2.62",,,,,"0.05",,,,,,,"22.82",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"5115.25","1548.86",
"Albania","","379.48","206.11","3.77","169.6",,"0.01","8.09","0.02","0.07","0.47","1.42","0.57","4.2","38.76","51.97","0.05",,"0.01","40.42","5.98","0.07","0.04","0.38",,"2.76","0.06",,,"0.23","-0.53","13.25","12.66","0.68","24.47","127.93",,,,,"0.03","0.02",,"-0.72",,,"0.02",,,"0.84",,,,,,"3.58",,,"-11.26","-11.26","27.9",,,,,,,,,,"31.1",,"-3.2","3.89",,"1.13","0.51",,,"0.47",,,"0.61","0.25","0.75",,,,,,"0.17",,"12.05","12.05",,"12.05",,"9.09",,,,,,,"0.4","0.5","0.62",,,,,"3.61","3.96",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"114.58","160.09",
"Algeria","","193.35","117.96","0.3","75.09",,"0.07","0.15","6.97","-0.15","0.16",,"0.17","73.29","10.39","0.07",,,"0.35","6.11","1.76","3.87",,"0.05",,"0.9","0.03","0.01",,,"-0.61","1.08","2.68","1.44","9.17","68.55",,,,,,,,,,,,,,"0.02",,,,,,"0.49","-0.21",,,,"0.07","0.07","0.07",,,,,,,,,,,"3.74",,"0.3",,,"0.38","0.42",,,"0.39",,"1.26",,,,,"0.39","0.6",,,,,,,"2.73",,,,,,,,"2.73",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"102.01","99.66",
"Angola","","192.94","118.12","0.25","74.57","4.7","0.22","0.02","1.12","1.02","1.41","1.17","1.57","4.24","5.68","0.03",,,"1.14","-0.6","11.52","16.75",,"-2.96",,"13.05","-0.1","-7.49",,,"2.71","1.4","0.59","0.69","64.94","28.1",,,,,,"0.03",,,,,,,,"0.17",,,,,,"0.03","0.02",,,,"7.84","7.84",,"7.84",,,,,,,,,,"17.28",,"0.12","-0.77",,"0.79","2.11",,,"2.31","3.39","7.61",,,,,,"1.72",,"7.3","7.3",,"7.3",,"14.05",,,,,,,"9.63","0.4","3.79",,,,,"0.23",,,,,,,"4.7",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"87.49","10.03",
"Anguilla","","0.3","0.39",,"-0.09",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0.39",,"0.03",,,,,,,,,,,,,,,,,,,,,,,,,"-0.12",,,,,,,,,"-0.12",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0.39","0.39",
"Antigua and Barbuda","","15.42","11.12","0.05","4.25",,"0.93",,,"0.01",,,"0.01",,"0.04","0.06",,,,,"9.64","0.02",,,,,,,,,"0.21",,,,"0.2","3.98",,,,,,"0.02",,,,,,,,,,,,,,,"0.03",,,,"-0.33",,,,,,,,,"-0.33",,,,,,,,,,,,,,,,,,,,,,,,,,,,"0.6",,,,,,,,"0.6",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"9.89","0.32",
"Argentina","","97.05","61.83","0.34","34.89","0","0.37","0.34","0.03","2.49","0.05","-4.19","0.19","10.95","21.84","0.52","0.03",,"0.26","5.07","9.47","0.11","0.17","0.05","0.14","0.05","0.01","0.1",,,"2.52","0.12","0.36","1.19","9.59","15.88",,,,,,"2.56",,"-2.31",,,,,,"0.01",,,,"0.02",,"0.05","0.01",,,,,,,,,,,,,,,,,"6.03",,"0.25",,,"0.73","0.46",,,"0.66","3.12","0.81",,,,,,,,,,,,,"12.98",,,,,,,,"10.01","1.52",,,"1.45",,,,,,,,,"0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"60.6","39.25",
"Armenia","","375.99","181.86","6.78","187.36",,,"2.32","0.37","0.03","0.21","4.16","0.24","5.59","40.93","1.92","0.06",,,"0.53","7.48","1.49","0.1","0.86",,"3.07","1.12",,,,"0.13","0.7","3.72","0.36","106.47","99.79",,,,"0.04",,"0.08",,,,,"0.07",,,"0.1","3",,,,,"1.26","2.23",,"36.25","36.25",,,,,,,,,,,,,,"9.19",,"0.94","4.71",,"0.24","1.08",,,"0.56",,"0.73",,,,,"0.31","0.62",,"31.14","31.14",,"31.14",,"10.99",,,,,,,"0.18","1.31","5.98",,,,,"0.15","3.37",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"161.39","59.6",
"Aruba","",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Azerbaijan","","287.77","176.67","26.23","84.87","0.05","0.06","0.51",,"0.04","0.05","0.08","0.67","2.48","13.83","0.19","0.1",,,"0.03","105.75","11.29","0.1",,,"3.37","0.4",,,,"0.05","0.84","5.84","0.96","30.03","24.77",,,,,"0.01","0.58",,"-1.5","0.02",,"0.04",,,"0.04","1.18",,,,,"26.48","-0.62",,"-17.28","-17.28","-3.35",,,,,,,,,,,,"-3.35","8.87",,"1.04","4.13",,"0.22","1.04",,,"0.71",,"0.85",,,,,,"0.88",,"46.74","46.74",,"46.74",,"25.12",,,,,,,"1.13","1.06","18.32",,,,,"1.07","3.54",,,,,,"0.05",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"153.12","20.29",
"Bahamas","",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Bahrain","",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Bangladesh","","1437.52","1082.38","-3.56","358.7","26.83","79.58","0.69","0.49","61.21","0.02","58.36","0.82","-4.2","77.06","0.2",,,"2.31","2.02","78.2","80.02","1.67","77.75","1.16","16.98","0.03",,,,"4","33.72","32.66","368.62","109.01","159.12",,,,,,,,"-4.58",,,,,,"0.01",,,,"0.23",,"1.45","-0.66",,"-78.76","-78.76","6.53",,,,,,,,,,,,"6.53","82.07",,"0.82","21.59",,"0.59","16.89",,,"6.36",,"21.37",,,,,"9.92","4.53",,"105.86","105.86",,"105.86",,"83.87",,,,,,,"31.86","1.55","33.81",,,,"7.96","8.69",,,,,,,"26.83",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"691.92","623.56",
"Barbados","",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Belarus","","119.8","83.74","2.86","33.19",,,"0.92","0.05","0.08","1.78","1.71","0.41","0.97","17.64","0.17","0.16",,"0.39","0.12","0.46","0.25","0.01",,,"3.7","21.21",,"0.05",,"0.18","21.46","0.3","0.12","11.6","15.48",,,,,"0.13","1.5",,"-1.16","0.04",,"0.75",,,"0.07",,,,,,"1.53",,,,,,,,,,,,,,,,,,"2.43",,"0.34",,,"0.24","0.25","0.1",,"0.45",,"0.67",,,,,,"0.38",,,,,,,"15.28",,,,,,,,"2.38","12.65",,,,,,"0.25",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"30.99","67.35",
"Belize","","20.99","5.86","-0.08","15.22","1.43","1.45",,,"0.11",,,"0.02",,"0.13",,,,,,"1.22","0.11",,,"0.02",,,,,,"0.05",,,"0.52","2.23","9.08",,,,,,,,"-0.08",,,,,,,,,,,,,,,,,"2.47",,,,,,,,,"2.47",,,,"1.58",,"0.14",,,"0.08","0.36",,,,,"1",,,,,,,,,,,,,"2.08",,,,,,,,"0.33","0.36",,,,,"1.4",,,,,,,"1.43",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"4.21","0.72",
"Benin","","672.61","423.87","-0.46","249.2","4.13","0.53","0.05","28.39","7.74","0.02","36.23","0.37","41.54","49.5",,,,"0.26","1.2","26.31","0.13","1.45","27.81",,"0.01",,"0.01",,,"1.22","0.35","12.15","0.07","188.53","63.13",,,,,,"0.02",,"-0.83",,,,,,"0.05",,,,,,"0.11","0.19",,"33.22","33.22","37.68","40.91",,"40.91",,,,,,,,,"-3.23","15.9",,"0.18","0.85",,"0.6","3.86",,,"2.09",,"7.29",,,,,"-0.04","1.07",,"64.52","64.52",,"64.52",,"34.75",,"0.09",,,,,"9.55","1.68","24.98",,,,"-0.15","-1.4",,,,,,,"4.13",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"314.89","188.47",
"Bermuda","",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Bhutan","","118.65","71.74","0.41","46.49","1.51","7.75","3.88",,"0.91",,"12.66","0.26","0.22","0.58",,,,,,"32.06","0.84",,"2.78",,"2.74",,,,,"0.01",,"4.39",,"2.66","1.01",,,,,,"0.01",,"0.01",,,,,,,,,,"0.39",,,,,,,,,,,,,,,,,,,,"8.61",,,"2.5",,"0.06","1.33",,,"1.27",,"1.38",,,,,"0.52","1.55",,"34.21","34.21",,"34.21",,"2.66",,,,,,,"0.19","1.39","1.08",,,,,,,,,,,,"1.51",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"36.43","20.39",
"Bolivia","","545.97","428.89","0.08","117","0.32","0.01","0.25","23.62","27","0.08","39.45","1.06","10.13","39.29","0.01",,,"1.25","9.94","39.22","1.35","1.24","53.65",,"5.82","0.08",,,,"51.38","35.14","29.71","0.14","59.07","52.05",,,,,,"0.02",,,,,,,,,,,,,,"0.06",,,,,,,,,,,,,,,,,,"8.29",,"0.41","0.97",,"0.07","1.51",,,"1.71",,"1.52",,,,,"2.1",,,"42.42","42.42",,"42.42",,"14.24",,,,,,,"0.35","2.3","6.04",,,,"4.18","1.37",,,,,,,"0.32",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"184.79","266.71",
"Bosnia and Herzegovina","","625.78","282.74","15.39","327.65",,"0.01","27.01","-0.14","0.16","3.58","0.06","2.16","2.94","32.94","0.66","0.86","0.02","0.34","5.19","1.76","14.22",,"10.72",,"14.87","25.91","0.14","1.21","1.49","36.4","30","27.43","4.79","38.01","278.43",,,,"0.35","0.02","0.03",,"-3.15",,,,,,,,,,,,"17.94","0.2",,,,"0.82",,,,,,,,,,"0.76",,"0.06","4.81",,"0.29","1.69",,,"0.61",,,"0.47",,"1.3",,,,,,"0.45",,"16.21","16.21",,"16.21",,"27.37",,,,,,,"0.13","1","8.59",,,,,"-0.83","18.48",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"85.79","186.26",
"Botswana","","118.5","88.38","8","22.12","3.88","2.89",,"0.03","1.18",,,"0.54","0.68","2.03",,,,"0.04",,"0.09",,,,,"0.5",,"0.09",,,,"2.11",,"1.56","76.64","15.32",,,,,,,,"7.87",,,,,,,,,,"0.05",,"0.08",,,,,"-1.83","-1.83","1.06","-2.89",,,,,,,,,,"7.28",,"0.11",,,"0.73","0.47",,,"1.38","2.94","0.85",,,,,,"0.8",,"-0.48","-0.48",,"-0.48",,"1.83",,"0",,,,,,"1.7","0.34",,,,"-0.21",,,,,,,,"3.88",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"82.18","7.08",
"Brazil","","840.69","644.79","1.61","194.3","4.93","0.35","1.59","4.46","4.14","0.02","0","1.51","59.18","215.71","0.45","0.09",,"0.85","7.86","157.2","0.8","2.85","0.24","0.27","72.55","0.08","8.25",,"0.01","21.1","2.05","4.02","49.37","29.79","154.36",,,,,,"1.37",,,,,,,,"0.02",,,,"0.01",,"0.18","0.03",,,,,,,,,,,,,,,,,"7.92",,"0.49","0.41",,"0.82","0.96",,,"1.55","2.94","0.75",,,,,,,,,,,,,"32.02",,,,,,,,"21.11","10.91",,,,,,,,,,,,"4.93",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"523.25","375.67",
